Date,Content,Created by,Labels,Impressions,Likes,Reposts,Quote posts,Replies,Engagement,Engagement rate per impression (%),Video views,Url
02/25/2024 10:05 AM EST -0500,"💭🤩 Imagine if we hadn't been conditioned to consume animals. Imagine if, from childhood, we had been taught that the lives of all animals matter equally and that they are friends, not food.  🫶🏽🐥 That reality is possible. If we can imagine it, we can create it.  📹@menkay https://t.co/0OrAbZhzK7",Simon Plazolles-Hayes,,144,3,2,0,0,10,6.9,30.0,https://twitter.com/GenV_Eng/status/1761769452956262743
02/26/2024 09:00 AM EST -0500,"Buffaloes of Brotas: one of the biggest cases of animal abandonment ever.  For every person who signs up to one of our FREE vegan challenges 👇 Generation Vegan will donate 1 dollar for the Buffaloes from Brotas!  Visit https://t.co/ZCVWpIcBdv, together we can change the world 🌱 https://t.co/FtwkIkf58h",Jamie Logan,,101,2,2,0,0,4,4.0,24.0,https://twitter.com/GenV_Eng/status/1762115402832765084
02/26/2024 10:59 AM EST -0500,Animals lives are worth far more than a meal. Recognizing this is an essential step in reducing the tremendous amount of unnecessary suffering and death that we inflict upon them.  #FarmAnimals #PlantBased https://t.co/XKSUCpaUut,Simon Plazolles-Hayes,,110,2,3,0,0,5,4.5,,https://twitter.com/GenV_Eng/status/1762145474251804837
02/26/2024 00:01 PM EST -0500,"Carol J. Adams, writer and feminist activist, reveals how language can be used to erase the animals exploited and killed by the farming industry.  Behind every piece of meat, every egg, and every glass of milk, was a sentient being who wanted to live 🐷🐔🐮  #AnimalRights https://t.co/cdez03RbQH",Simon Plazolles-Hayes,,1281,35,23,1,4,103,8.0,283.0,https://twitter.com/GenV_Eng/status/1762161043311063529
02/27/2024 10:00 AM EST -0500,"Embark with us on a spiritual journey that aligns your beliefs with your actions and fosters a greater connection with people, animals, and the Earth!  We just launched a new challenge: 7-DAYS VEGAN FOR SPIRITUALITY! 😇  🥕🍌🍉Subscribe today for free at https://t.co/ZCVWpIcBdv! https://t.co/YSNlSAVRJB",Jamie Logan,,99,4,0,1,0,4,4.0,27.0,https://twitter.com/GenV_Eng/status/1762492963223978086
02/27/2024 11:02 AM EST -0500,"If you’re wondering how much protein you should eat per day or where to find it, then we have good news. A vegan diet gives you all the protein you need—ask bodybuilder Nimai Delgado!  What are your favorite vegan protein sources? 👇 💪@NimaiDelgado 🧒🏾 @GenesisButlerV  #protein https://t.co/AiB420ibQR",Simon Plazolles-Hayes,,112,3,0,1,0,9,8.0,21.0,https://twitter.com/GenV_Eng/status/1762508417401290757
02/28/2024 08:30 AM EST -0500,"If you are a loving, compassionate, and spiritual person, you and your friends need to sign up for this challenge!  Through love, altruism, truth, and forgiveness we hope to inspire you to change the way you eat.  Visit https://t.co/Pm5kiDxPGJ to take our new challenge! https://t.co/V1UxYGP4ns",Jamie Logan,,85,1,0,0,0,3,3.5,21.0,https://twitter.com/GenV_Eng/status/1762832766305997309
02/28/2024 02:16 PM EST -0500,"Chickens are highly intelligent birds with vibrant personalities. From their remarkable memory and math skills to their diverse vocalizations, chickens empathize with others in their brood and protect each other.  Shot at Ahimsa Farm Animal Sanctuary 🐔  #chicken #AnimalSanctuary https://t.co/efkoZjquG0",Simon Plazolles-Hayes,,160,10,4,0,0,17,10.6,41.0,https://twitter.com/GenV_Eng/status/1762919781265453466
02/28/2024 02:49 PM EST -0500,"For every sign-up to one of our free vegan challenges, GenV will donate 1 dollar to the sanctuaries caring for the Bufalos up to 10,000 subscriptions.  Every sign-up counts — so come be part of this cause and change lives! 💚🐃  Here the link to sign up: https://t.co/VSYwRqbf0c https://t.co/rpInPdKnk6",Jamie Logan,,78,1,0,0,0,2,2.6,,https://twitter.com/GenV_Eng/status/1762928074625036680
02/29/2024 08:00 AM EST -0500,"Eyes reflecting the pain of the soul... 💔  The gaze of this gentle being only reinforces the urgency to act. Every time we ignore this reality, we allow injustice to persist.  Together, we can create a future where suffering is not the norm. 🐷 https://t.co/htZn7dylwk",Jamie Logan,,490,14,8,1,3,50,10.2,167.0,https://twitter.com/GenV_Eng/status/1763187476636598484
02/29/2024 11:03 AM EST -0500,Beloved comedian and presenter @jonstewart is returning to hosting @TheDailyShow 🎉  Jon Stewart is a tremendous advocate for animals and living proof of the healthy power of broccoli 🥦  #TheDailyShow https://t.co/gmZVg2oIUI,Simon Plazolles-Hayes,,79,2,0,0,0,9,11.4,27.0,https://twitter.com/GenV_Eng/status/1763233454127304722
02/29/2024 05:40 PM EST -0500,"Try out our new 7-day guided course, which supports anyone wishing to adopt a vegan lifestyle to help them connect more deeply to their spiritual beliefs.  For every sign up, we will donate $1 to rescued buffalos in Brazil!  https://t.co/kY1vO7bzau",Jamie Logan,,70,0,1,0,0,2,2.9,,https://twitter.com/GenV_Eng/status/1763333465489977638
03/01/2024 05:01 AM EST -0500,"A worker grabs gentle chicks, throwing them into a bucket as if they were inanimate objects. Animal agriculture is industrial cruelty to animals and apathy toward their inherent rights.  Did you know this is how animals are treated for food?🐣  #chicks https://t.co/Cjg1O1u0hF",Simon Plazolles-Hayes,,204,6,4,0,0,16,7.8,61.0,https://twitter.com/GenV_Eng/status/1763504874707128710
03/01/2024 07:00 AM EST -0500,"What does it truly mean to be aware, to feel, and to perceive? Explore the fascinating exploration of consciousness in this thought-provoking article!  https://t.co/BTNzuajxlW",Jamie Logan,,47,0,1,0,0,1,2.1,,https://twitter.com/GenV_Eng/status/1763534719583481971
03/01/2024 09:01 AM EST -0500,"Happy National Pig Day!  Pigs are friends not food!  Let’s honor these intelligent, curious, and social animals by choosing plant-based options! 🌟  #PlantBased #Vegan #FriendsNotFood #PigLove #NationalPigDay https://t.co/yRi5P01OsJ",Jamie Logan,,148,6,1,0,0,21,14.2,36.0,https://twitter.com/GenV_Eng/status/1763565115939401818
03/01/2024 00:13 PM EST -0500,"The UK Vegan & Animal Rights Conference 2024 is happening this April 13-14th!  There will be engaging programs, networking opportunities, and impactful animal rights advocacy.  Have you gotten your tickets yet? https://t.co/O8kaeSu7Nf",Jamie Logan,,45,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1763613560008016178
03/02/2024 00:49 PM EST -0500,Industrial fishing threatens the lives of these beings and all marine life. Join us in protecting them.  Consider veganism. 🌱  #octopus https://t.co/JgmW5zFSGl,Simon Plazolles-Hayes,,202,7,3,0,0,12,5.9,54.0,https://twitter.com/GenV_Eng/status/1763985043846787577
03/03/2024 10:00 AM EST -0500,Guess which industry is the largest driver of species extinction & habitat loss? Animal agriculture.  An area of rainforest the size of 100 football pitches is cut down every hour to provide pasture for farmed animals.  Want to save animals? Let's change what’s on our plates. https://t.co/vp11z1LEUn,Jamie Logan,,234,9,8,0,0,19,8.1,,https://twitter.com/GenV_Eng/status/1764304793097392134
03/04/2024 08:00 AM EST -0500,"A slaughterhouse worker pauses with a thousand-yard stare as a gentle cow looks at their executioner with confusion and fear.  Slaughterhouses make victims of everyone, even workers.  Choosing vegan helps end both animal exploitation and human exploitation. What will you choose? https://t.co/dSwle6Wsnb",Jamie Logan,,1827,35,20,3,3,113,6.2,,https://twitter.com/GenV_Eng/status/1764636960595849588
03/04/2024 11:00 AM EST -0500,"Let’s discard who we are not: we are not animal persecutors, are we?  We love animals and want them to thrive and live happy lives.  Let’s start our vegan journey and protect animals, the environment, humanity and ourselves!  ✌🏼Take our free challenge at https://t.co/2vPX9B9suG https://t.co/KgFPEsgVnZ",Jamie Logan,,108,4,2,0,0,6,5.6,,https://twitter.com/GenV_Eng/status/1764682349810221130
03/04/2024 11:34 AM EST -0500,"Let’s discard who we are not: we are not animal persecutors, are we?  We love animals and want them to thrive and live happy lives.  Let’s start our vegan journey and protect animals, the environment, humanity and ourselves!  ✌🏼Take our free challenge at https://t.co/w1uu3Xw0lt https://t.co/jQpYAtFvNR",Jamie Logan,,66,1,0,0,0,2,3.0,,https://twitter.com/GenV_Eng/status/1764690919897416143
03/04/2024 11:45 AM EST -0500,"Let’s discard who we are not: we are not animal persecutors, are we?  We love animals and want them to thrive and live happy lives.  Let’s start our vegan journey and protect animals, the environment, humanity and ourselves!  ✌🏼Take our free challenge at https://t.co/yQ7UHrGazZ https://t.co/I3PoZlmLhh",Jamie Logan,,63,1,0,0,0,3,4.8,,https://twitter.com/GenV_Eng/status/1764693585226608901
03/04/2024 02:29 PM EST -0500,"A slaughterhouse worker pauses with a thousand-yard stare as a gentle cow looks at their executioner with confusion and fear.  Slaughterhouses make victims of everyone, even workers.  Choosing vegan helps end both animal exploitation and human exploitation. What will you choose? https://t.co/7sihua0qBD",Jamie Logan,,157,6,4,0,0,12,7.6,,https://twitter.com/GenV_Eng/status/1764735002430816267
03/05/2024 11:00 AM EST -0500,"This Women’s Week we honor the incredible strength and compassion of women, while also recognizing that billions of female animals are trapped in our food systems. 💚🌱  We advocate for a world where all beings are free from exploitation and suffering. https://t.co/y9taSTslCn",Jamie Logan,,137,5,1,1,0,6,4.4,,https://twitter.com/GenV_Eng/status/1765044625977245831
03/05/2024 03:01 PM EST -0500,"✊🏾Whether you're looking to expand your knowledge about animal rights or recommend a book to a non-vegan friend, we recommend these books written by amazing and inspiring vegan women!  🩷👉🏽Feel free to join our 7-Day Vegan for Humanity challenge: https://t.co/HPxrUGAvAV https://t.co/NeS1G5IjGg",Simon Plazolles-Hayes,,66,0,0,0,0,1,1.5,15.0,https://twitter.com/GenV_Eng/status/1765105416856387740
03/05/2024 07:01 PM EST -0500,"Even amidst conflict, Tamara's group remains steadfast in their commitment to veganism.  Shifting gears from education to direct support, they're ensuring Ukrainian soldiers uphold their beliefs while defending sovereignty. 🌱💪  #VeganSupport #UkraineStrong https://t.co/TWvraE3RlJ",Simon Plazolles-Hayes,,166,5,3,0,0,10,6.0,39.0,https://twitter.com/GenV_Eng/status/1765165896501273081
03/06/2024 07:00 AM EST -0500,"The UK Vegan & Animal Rights Conference 2024 is happening this April 13-14th. Kate Fowler and Matthew Glover from GenV will be speaking!  There will be engaging programs, networking opportunities, and impactful animal rights advocacy.  Get your tickets: https://t.co/bTuVAe4QHE https://t.co/awZ4nBRbCm",Jamie Logan,,57,1,0,0,0,2,3.5,,https://twitter.com/GenV_Eng/status/1765346685247451647
03/06/2024 00:02 PM EST -0500,Zoomies every day keep the worries away! Does your companion animal ever get the zoomies?  👇 Let us know below! https://t.co/HHIEX9FP8K,Simon Plazolles-Hayes,,102,2,0,0,0,4,3.9,28.0,https://twitter.com/GenV_Eng/status/1765422779086643480
03/06/2024 02:32 PM EST -0500,"Chef Babette was preparing for her 72nd birthday when we first met her, and she openly credits eating plant-based vegan food for her health and vitality.  @rawchick62 is the co-owner of @StuffITweet in California.  https://t.co/uy6evDCHqH  #vegan #ChefBabette",Simon Plazolles-Hayes,,59,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1765460482184339578
03/06/2024 03:35 PM EST -0500,"Today we celebrate the incredible success of our campaign #HelpTheBuffaloesFromBrotas!  With your support, GenV will donate $10,000 to the sanctuaries that are taking care of the Buffaloes from Brotas ➔ $1 for every person who signed up to our challenges during this campaign! https://t.co/Yj3HrTAqTR",Jamie Logan,,76,5,0,0,0,6,7.9,,https://twitter.com/GenV_Eng/status/1765476342995300389
03/06/2024 04:59 PM EST -0500,Guess which industry is the largest driver of species extinction & habitat loss? Animal agriculture.  An area of rainforest the size of 100 football pitches is cut down every hour to provide pasture for farmed animals.  Want to save animals? Let's change what’s on our plates. https://t.co/7lafCGKewg,Jamie Logan,,215,10,8,0,0,20,9.3,,https://twitter.com/GenV_Eng/status/1765497528445759916
03/07/2024 04:46 AM EST -0500,"🐢 Sea turtles face serious threats, such as capture in fishing nets and ocean pollution.  💬 Did you know that a large portion of the plastics are abandoned fishing gear?  💙We can change the lives of these animals through compassionate choices. 🌱  #turtles https://t.co/hjLag1aXCC",Simon Plazolles-Hayes,,140,2,4,0,0,10,7.1,30.0,https://twitter.com/GenV_Eng/status/1765675423902343585
03/07/2024 09:00 AM EST -0500,"✊🏾On this International Women’s Day, we honor those courageous people who, like Sunaura Taylor, unceasingly fight for the protection and enrichment of both human and nonhuman lives.  To read more about speciesism and ableism, got to https://t.co/EisWea4nvd https://t.co/irO3ns0bYY",Jamie Logan,,67,3,1,0,0,4,6.0,,https://twitter.com/GenV_Eng/status/1765739256440389665
03/08/2024 05:02 AM EST -0500,"✊🏾In this International Women’s Day, we are willing to honor those courageous people who unceasingly fight for the preservation of human and nonhuman lives.  #WomensDay #VeganWomen #Speciesism #WomensRights #Intersectionality https://t.co/6vdy5uwS8Q",Simon Plazolles-Hayes,,155,6,2,0,1,11,7.1,,https://twitter.com/GenV_Eng/status/1766041818041360504
03/09/2024 03:04 PM EST -0500,"In the egg industry, male chicks are nothing more than an unwanted by-product.  On their first day of life, they are thrown onto an industrial conveyor belt heading towards the grinder that crushes them while still alive.  We can end this. 🌱  Choose veganism.🐣💛  #chicks #eggs https://t.co/pOU3BD1Car",,,248,8,4,0,0,16,6.5,44.0,https://twitter.com/GenV_Eng/status/1766555719950541137
03/10/2024 02:19 PM EDT -0400,🚨BREAKING NEWS! Undercover investigation exposes abhorrent conditions in a @RedTractorFood certified UK farm. ‼️  #UK #animals #crueltyfree  https://t.co/fEXhnozAm4,,,98,1,1,0,0,3,3.1,,https://twitter.com/GenV_Eng/status/1766891721084784647
03/11/2024 00:00 PM EDT -0400,"In July 2012, the Cambridge Declaration on Consciousness was published. An international group of scientists gathered to study behaviors related to both human and non-human animals.  The evidence indicated that animals have the capacity to feel pain, pleasure, and emotions. https://t.co/3Kj5gw0TLv",Jamie Logan,,189,6,6,0,0,13,6.9,33.0,https://twitter.com/GenV_Eng/status/1767219171425759530
03/11/2024 02:00 PM EDT -0400,"🌕 This is a message from the universe (and from us)!  If you’ve been thinking of going vegan for the animals, the environment, or your health, this is the perfect time to do so!  👉🏽 Go to https://t.co/uyBZeto4VF and subscribe to one of our vegan challenges! https://t.co/evCRofUIXW",Jamie Logan,,77,1,0,0,0,4,5.2,7.0,https://twitter.com/GenV_Eng/status/1767249138289127517
03/12/2024 09:00 AM EDT -0400,"Get your calcium from plants!  There are so many ways you can meet your calcium needs from greens, seeds, and legumes. 🌱💚  1. Tofu 2. Sesame Seeds 3. Kale 4. Moringa Leaves 5. Dried Figs 6. Chickpeas 7. Chia Seeds https://t.co/EXN8ddVk5U",Jamie Logan,,74,3,1,0,0,7,9.5,,https://twitter.com/GenV_Eng/status/1767536051608834107
03/12/2024 09:00 AM EDT -0400,"This beauty is at risk due to human activities. Industrial fishing, commercial shipping, mining, and pollution (plastic, chemicals, and farmed animal waste) threaten the planet's oceans.  Each one of us can do our part to protect marine life. Choose veganism.  📽️: rafafdezjr (IG) https://t.co/ENzNyf9gPO",Jamie Logan,,199,2,4,0,0,9,4.5,32.0,https://twitter.com/GenV_Eng/status/1767536065479356714
03/12/2024 01:34 PM EDT -0400,"Stressed, sick, and injured animals are living and dying in filth and fear. Don’t be fooled by the marketing claims.  Join us in calling for action by @RedTractorFood and report Cross Farm directly to them: enquiries@redtractor.org.uk  https://t.co/PAXRYDK5B4  #pigs",Simon Plazolles-Hayes,,299,10,9,1,1,33,11.0,,https://twitter.com/GenV_Eng/status/1767605112921280752
03/13/2024 00:00 PM EDT -0400,"Animal rights is a philosophy that teaches compassion, empathy, and respect for all living beings.  We each have our own characteristics, talents and we are all worthy of living a life free from oppression.  Watch full interview with the @veganqueens   https://t.co/IubSmueAEg https://t.co/SVQtFnc7tA",Jamie Logan,,44,1,0,0,0,1,2.3,,https://twitter.com/GenV_Eng/status/1767943812175851619
03/14/2024 08:01 AM EDT -0400,"Most vegans grew up eating meat, but one day realized that the meat on their plate used to be part of a living, feeling animal.  When we make that connection, we act on it because no animal should be exploited just for a meal.  What was your moment of vegan realization? https://t.co/KCQjui9Xe1",Jamie Logan,,125,4,1,0,0,5,4.0,29.0,https://twitter.com/GenV_Eng/status/1768246011275727151
03/14/2024 03:07 PM EDT -0400,💙🦜 The blue macaw is threatened with extinction due to hunting and deforestation for creating pastures for beef and dairy cows.  Going vegan is a powerful way to protect species like the blue macaw and the entire ecosystem that sustains life on our planet.🌍🌱  🎥: Rafael Prete https://t.co/P5E1aB9k3t,Simon Plazolles-Hayes,,163,3,1,0,0,4,2.5,34.0,https://twitter.com/GenV_Eng/status/1768353341074026674
03/15/2024 05:01 AM EDT -0400,"🔊Sound on📢  🐮 Meet Nitin, a curious cow who was rescued from a dairy farm.  He would have been sold to a slaughterhouse but instead, he now lives at the Ahimsa Farm Animal Sanctuary where he is loved and cared for. 🌱💚  #asmr #cows https://t.co/opKwOruJMS",Simon Plazolles-Hayes,,303,11,2,1,0,26,8.6,64.0,https://twitter.com/GenV_Eng/status/1768563260024836305
03/15/2024 05:08 AM EDT -0400,"This kid is only one day old, and she is fortunate because her mother was rescued from a slaughterhouse while she was pregnant.❣️  She will live a happy life with 120 other goats at Ahimsa Farm Animal Sanctuary.  By going vegan, you can save 100 animals in a year.  🐐 #goat https://t.co/52e8fhkTMm",Simon Plazolles-Hayes,,155,5,0,0,0,10,6.5,22.0,https://twitter.com/GenV_Eng/status/1768564985469325449
03/17/2024 09:00 AM EDT -0400,"Ladies, did you know plant-based protein can boost your health? 🌱✨ Let's nurture ourselves and our planet! #WomensHealth #PlantBased #GoVegan https://t.co/wKHRG13Z7Q",Simon Plazolles-Hayes,AI Article,145,5,0,0,0,9,6.2,,https://twitter.com/GenV_Eng/status/1769348003536441781
03/17/2024 06:14 PM EDT -0400,"How does your food impact the planet? 🌍 Embrace compassion, go plant-based!  #PlantBasedFuture #VeganLife #EcoFriendly https://t.co/DyPhBxgH8a",Simon Plazolles-Hayes,AI Article,135,0,1,0,0,1,0.7,,https://twitter.com/GenV_Eng/status/1769487578531561895
03/18/2024 07:14 AM EDT -0400,Did you know plants pack a protein punch too?  🌱 Try swapping meat for a vegan option today!  #PlantBasedProtein #VeganLife #EatKind - https://t.co/0Y7xJF7uWR,Simon Plazolles-Hayes,AI Article,94,4,0,0,0,8,8.5,,https://twitter.com/GenV_Eng/status/1769683916628136443
03/18/2024 09:00 AM EDT -0400,"What's your favorite plant-based dish to enjoy at 30,000 feet? ✈️🌱  #VeganTravel #SustainableEating #PlantBasedPower https://t.co/CW83oNB5JG",Simon Plazolles-Hayes,AI Article,80,1,0,0,0,3,3.8,,https://twitter.com/GenV_Eng/status/1769710382078157066
03/18/2024 11:00 AM EDT -0400,"If we killed people at the same rate we kill animals, the human race would be extinct in 17 days 💔  There is only one way to stop this industrial-scale killing. We choose to.  Try our free vegan challenge at https://t.co/EisWea4nvd https://t.co/ZeJAGe7SVu",Jamie Logan,,240,7,4,0,0,11,4.6,40.0,https://twitter.com/GenV_Eng/status/1769740680178364453
03/18/2024 06:14 PM EDT -0400,How do you fuel your fitness with kindness? 🌱💪  Dive into the world of plant-based power with us!  #VeganProtein #PlantBasedLiving #SustainableFitness https://t.co/OO95Ozdzi4,Simon Plazolles-Hayes,AI Article,116,3,2,0,0,7,6.0,,https://twitter.com/GenV_Eng/status/1769849968993411240
03/18/2024 06:23 PM EDT -0400,"🐮🐷🐰Some animals are farmed for their flesh, milk, or eggs and subjected to cruel industrial processing. Many never see daylight or feel the grass under their feet.  ⛔️If you want to STOP contributing to this horrible reality, subscribe to one of our FREE vegan challenges! https://t.co/GjkeEzkC4J",Simon Plazolles-Hayes,,127,5,1,0,0,6,4.7,,https://twitter.com/GenV_Eng/status/1769852174480142489
03/19/2024 07:14 AM EDT -0400,"Is your sweet tooth ready for a delightful revolution? 🍫 Dive into the future with #VeganChocolate, a treat that's kinder to all beings! 🌿💕  #EthicalEating #PlantBased https://t.co/2a6G7MIdU5",Simon Plazolles-Hayes,AI Article,89,1,0,0,0,1,1.1,,https://twitter.com/GenV_Eng/status/1770046197882921282
03/19/2024 08:59 AM EDT -0400,DELETE,Simon Plazolles-Hayes,AI Article,60,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1770072719872209060
03/19/2024 10:01 AM EDT -0400,"The ethics of harvesting pearls is not the hottest topic in animal ethics, we still think it’s worthy of consideration. 17 million tonnes of bivalves are harvested every year for food and pearls, which in terms of individuals is far too many to count.  https://t.co/RJ2gy1wHW5",Simon Plazolles-Hayes,,61,1,2,0,0,5,8.2,,https://twitter.com/GenV_Eng/status/1770088225580707922
03/19/2024 06:14 PM EDT -0400,Is your coffee kindness priced fairly? 🌱☕️ Say no to upcharges for plant-based milks!  #DairyFree #FairPricing #VeganChoice https://t.co/ytpWjxSt9h,Simon Plazolles-Hayes,AI Article,110,4,1,0,0,7,6.4,,https://twitter.com/GenV_Eng/status/1770212357211402608
03/20/2024 07:14 AM EDT -0400,Why should plant-based meals in EU institutions cost more than meat options? 🌱  It's time for fair pricing and tasty vegan options!  #PlantBasedFuture #SustainableEating #EUFoodPolicy https://t.co/CdUi73rpFS,Simon Plazolles-Hayes,AI Article,73,1,0,0,0,1,1.4,,https://twitter.com/GenV_Eng/status/1770408585450684853
03/20/2024 09:00 AM EDT -0400,Who's ready to dive into a future where no sea creatures are harmed? 🌊🍤🌿  #PlantBasedInnovation #NoAnimalHarmed #SustainableEating https://t.co/nsrD2y5Ru6,Simon Plazolles-Hayes,AI Article,59,1,0,0,0,1,1.7,,https://twitter.com/GenV_Eng/status/1770435168282481075
03/20/2024 10:00 AM EDT -0400,Did you know that sea otters have the densest fur of all marine mammals? This helps them float and stay warm in cold waters. 🦦🌊  🎥: earthlyeducation (IG) https://t.co/TXaKFK03QP,Jamie Logan,,189,2,0,0,0,2,1.1,15.0,https://twitter.com/GenV_Eng/status/1770450344775934020
03/20/2024 06:14 PM EDT -0400,"Ever wondered how your diet can influence your golden years? 🌱✨  A shift to plant-based proteins could mean a healthier, vibrant future!  #HealthyAging #PlantBased #EatKind https://t.co/2BmfsTZ04g",Simon Plazolles-Hayes,AI Article,101,1,0,0,0,1,1.0,,https://twitter.com/GenV_Eng/status/1770574740807102740
03/21/2024 07:14 AM EDT -0400,Can high-moisture extrusion bring the juiciness of meat to plant-based alternatives? 🌱  Let's make kinder choices for our planet! 🌍  #GoVegan #SustainableEating #PlantBasedRevolution https://t.co/OpQDTpOc8r,Simon Plazolles-Hayes,AI Article,77,1,0,0,0,5,6.5,,https://twitter.com/GenV_Eng/status/1770770975019127018
03/21/2024 09:00 AM EDT -0400,Craving global flavors in a kinder way? 🌱✈️  How do you #spiceup your #PlantBased dishes at home? 🥟🌶️  #VeganEats https://t.co/rYOAbUZDLy,Simon Plazolles-Hayes,AI Article,44,1,0,0,0,1,2.3,,https://twitter.com/GenV_Eng/status/1770797515295662098
03/21/2024 09:00 AM EDT -0400,🐄 Cows express a wide range of emotions. Joy while playing in pastures and receiving affection. Fear and distress in the face of exploitation by the meat and dairy industries.  Have you ever hugged a cow before?  🎥: @farmsanctuary https://t.co/KgjUI51SgB,Jamie Logan,,293,3,1,0,0,5,1.7,31.0,https://twitter.com/GenV_Eng/status/1770797555196055661
03/21/2024 06:14 PM EDT -0400,DELETE,Simon Plazolles-Hayes,AI Article,95,0,0,0,0,4,4.2,,https://twitter.com/GenV_Eng/status/1770937121668276261
03/22/2024 07:14 AM EDT -0400,"Could better health and a lighter food bill inspire you to embrace #Veganuary? 🌿  Join the movement for a kinder, greener planet! 🐾🌎  #PlantBased #EcoFriendly https://t.co/PyA5T5O4qb",Simon Plazolles-Hayes,AI Article,107,2,1,0,0,3,2.8,,https://twitter.com/GenV_Eng/status/1771133362465292317
03/22/2024 09:00 AM EDT -0400,🌱🐮 Join the movement for compassionate living with @FarmSanctuary.  Will you choose kindness today?  #PlantBased #AnimalWelfare https://t.co/xJzdQrpSaL,Simon Plazolles-Hayes,AI Article,94,3,2,0,0,5,5.3,,https://twitter.com/GenV_Eng/status/1771159998204125446
03/22/2024 11:52 AM EDT -0400,"Between 300 and 620 billion individual shrimps are farmed every year globally. 🦐  90% are imported into the U.S. are from farms across Southeast Asia, where slavery and human trafficking are common.  A plant-based diet is the best choice for animals and for people. Go Vegan! 🌱 https://t.co/WJV4NLPZIN",Simon Plazolles-Hayes,,74,1,0,0,0,2,2.7,,https://twitter.com/GenV_Eng/status/1771203357836820687
03/22/2024 06:14 PM EDT -0400,What's your favorite plant-based treat that tastes as good as the traditional version? 🌱  🍰 Taste and kindness can go hand-in-hand!  #VeganDesserts #PlantBasedLiving #KindToAnimals https://t.co/PdGms7xG26,Simon Plazolles-Hayes,AI Article,127,1,0,0,0,3,2.4,,https://twitter.com/GenV_Eng/status/1771299459537785261
03/23/2024 07:14 AM EDT -0400,Ever wondered how tech savviness could advance the vegan movement? 🌱  💻 Check out the innovative tools from Vegan Hacktivists!  #VeganTech #CrueltyFreeFuture #PlantPowered https://t.co/yWzFgMAGcJ,Simon Plazolles-Hayes,AI Article,106,2,0,0,0,8,7.5,,https://twitter.com/GenV_Eng/status/1771495803242020971
03/23/2024 09:00 AM EDT -0400,What's your go-to plant-based breakfast dish? 🌱  Start your day with kindness and flavor!  #VeganMorning #PlantBasedDelight #CrueltyFreeCuisine https://t.co/PSf8xE1cJD,Simon Plazolles-Hayes,AI Article,92,2,0,0,0,4,4.3,,https://twitter.com/GenV_Eng/status/1771522300006850979
03/23/2024 02:02 PM EDT -0400,🐷💖Conscious food choices make scenes like this possible. Join us on this journey of compassion and respect for all species. Comment 'I want' and receive the link to sign up for one of our free veganism challenges. 💚✨  📽️: Charleye Anna  #pig #cute https://t.co/WLJSvawjrM,Simon Plazolles-Hayes,,1596,62,8,0,0,128,8.0,409.0,https://twitter.com/GenV_Eng/status/1771598462930342030
03/23/2024 06:15 PM EDT -0400,"Craving pasta without the gluten? Try tasty chickpea pasta for a kinder, protein-packed twist! 🍝  What's your favorite plant-based sauce?  #VeganLife #GlutenFree #PlantBased https://t.co/ohaqELGgsk",Simon Plazolles-Hayes,AI Article,179,4,1,0,0,6,3.4,,https://twitter.com/GenV_Eng/status/1771661954928574592
03/24/2024 07:14 AM EDT -0400,DELETE,Simon Plazolles-Hayes,AI Article,113,0,0,0,0,6,5.3,,https://twitter.com/GenV_Eng/status/1771858136493707590
03/24/2024 09:00 AM EDT -0400,"""Plant-based vaccines have emerged as a promising avenue for safer, more accessible, and cost-effective vaccine development."" 🌱  Should governments do more to promote plant-based vaccines? 💉🤔 https://t.co/PHPhfMOLeh",Simon Plazolles-Hayes,AI Article,81,1,1,0,0,3,3.7,,https://twitter.com/GenV_Eng/status/1771884727743422821
03/24/2024 06:14 PM EDT -0400,"Who's ready to taste the future of sustainability? 🌱🔜🍽️ Make room, traditional steaks - plant-based whole cuts are coming to town!  #PlantBasedRevolution #SustainableEating #FutureOfFood https://t.co/AndFpZ6QBR",Simon Plazolles-Hayes,AI Article,94,2,0,0,0,3,3.2,,https://twitter.com/GenV_Eng/status/1772024233708630358
03/25/2024 07:14 AM EDT -0400,Are you ready to join the plant-based revolution 🌱 and give kindness to our planet?  #PlantBasedFuture #EcoFriendly #VeganVibes https://t.co/sorlBuN9pN,Simon Plazolles-Hayes,AI Article,106,2,1,0,0,4,3.8,,https://twitter.com/GenV_Eng/status/1772220526888398886
03/25/2024 08:59 AM EDT -0400,Have you heard the moo-ving news? 🐮 Three lucky bulls have found kindness & compassion at a New Jersey vegan sanctuary! 🌱  💚 How do you show kindness to animals?  #AnimalRescue #VeganForLife #BeKindToEveryKind https://t.co/QDyKdI9laP,Simon Plazolles-Hayes,AI Article,58,2,0,0,0,2,3.4,,https://twitter.com/GenV_Eng/status/1772246985501778199
03/25/2024 09:04 AM EDT -0400,It is not uncommon for vegans to fall back to old ways of eating and existing.  But... let us tempt you back by trying one of our vegan challenges at https://t.co/wIgC0kLyfw 💛🐷🥑. https://t.co/1vmGXEtSGg,Jamie Logan,,154,3,1,0,0,10,6.5,23.0,https://twitter.com/GenV_Eng/status/1772248264911323230
