Date,Content,Created by,Labels,Organic Reach,Paid Reach,Total reach,Organic impressions,Paid impressions,Total impressions,Engaged users,Engagement rate per reach (%),Engagement rate per impression (%),Clicks,Link clicks,Photo views,Video play,Other clicks,Organic video views,Paid video views,Total video views,Average time watched,Average percentage of time watched,Url
02/08/2024 01:48 PM EST -0500,"There is much that connects different social justice movements, from the systems of oppression that give rise to injustices to the campaign tools used to combat them.  Here, we talk about one specific connection, that between veganism and reproductive justice.  ",Jamie Logan,,244,0,244,253,0,253,7.0,2.9,2.8,2,2,0,0,0,,,,,,https://www.facebook.com/444138704603959
02/08/2024 03:50 PM EST -0500,"On Friday, February 16th 2024 there will be a PRIVATE TEST SCREENING of the highly-anticipated film, Christspiracy, at the Isla Vista Theater at UCSB - in Santa Barbara, California.  This is an exciting opportunity to provide feedback on this groundbreaking new documentary from acclaimed filmmakers Kip Andersen (of Netflix Documentaries Cowspiracy: The Sustainability Secret, Seaspiracy and What The Health) and Kameron Waters, then stick around for a post-film Q&A with the director.  Don't miss this exclusive opportunity to witness the pre-screening of Christspiracy- it will change the way the world thinks about faith, ethics, and our relationship with animals, forever!  RESERVE YOUR SEAT NOW: https://eventbrite.pulse.ly/5qhz9akpie  *Any backers of the @Christspiracy KickStarter or IndieGoGo crowdfund campaigns are invited as priority to this event, otherwise your digital early access will be available soon!",Jamie Logan,,5997,0,5997,6056,0,6056,236.0,3.9,3.9,38,17,21,0,123,,,,,,https://www.facebook.com/photo.php?fbid=444184487932714&set=a.296116792739485&type=3
02/08/2024 04:05 PM EST -0500,"The terror that is so obvious on this piglet's face is experienced by millions of farmed animals every day. We know that animals like her can feel pain, fear, grief, and distress, just as we do.  Why would we knowingly inflict that on them?  📷 Tras los Muros - Aitor Garmendia",Simon Plazolles-Hayes,,669,0,669,676,0,676,72.0,10.8,10.7,21,0,21,0,19,,,,,,https://www.facebook.com/photo.php?fbid=444189357932227&set=a.296116792739485&type=3
02/08/2024 05:59 PM EST -0500,"""Through the synergistic integration of HME technology and IFF’s RE-IMAGINE PROTEIN® Innovation program, the goal is to pioneer new and innovative meat alternative products that offer a level of consumer acceptance not yet achieved in the market."" 🌱🥩  What do you value most when choosing plant-based meat alternatives – taste, texture, or something else? Share your thoughts with us! 🌿✨",Simon Plazolles-Hayes,AI Article,513,0,513,531,0,531,15.0,2.9,2.8,2,2,0,0,1,,,,,,https://www.facebook.com/444226937928469
02/09/2024 07:00 AM EST -0500,"""Think plant-based variations of dim sum or deconstructed picadillo empanadas created with soy and pea proteins, along with beans and pulses, bursting with richness and notes of umami and spice.""  How will you incorporate global flavors into your next vegan meal?🍲🌏",Simon Plazolles-Hayes,AI Article,455,0,455,463,0,463,10.0,2.2,2.2,1,1,0,0,1,,,,,,https://www.facebook.com/444539587897204
02/09/2024 07:00 AM EST -0500,"📆There are amazing vegan events happening all over the world this year. Here are some events just to name a few we are excited about!  Orlando Vegan Market - Feb 18th Los Angeles Vegan Street Fair - March 22-24  Charleston Vegan Brewfest - April 13th Planet Virginia - April 21st  Florida Vegan Block party - April 27th Los Angeles, Vegan Women’s Summit - May 9-10th  Asbury Park Vegan Food - May 18-19 D.C Animal Advocacy Summit - May 16-19th  Oxfordshire Vegan Campout July 26-29 Los Angeles Vegandale - October 19  In the meantime, if you want more information or to delve deeper into veganism, accept one of our challenges! We have 7 or 30 days. Go to genv.org/go-vegan",Jamie Logan,,2166,0,2166,2166,0,2166,50.0,2.3,2.3,12,0,12,0,2,,,,,,https://www.facebook.com/photo.php?fbid=444539567897206&set=a.296116792739485&type=3
02/09/2024 10:00 AM EST -0500,"This giant manta ray, an endangered marvel, is just one more victim of the cruel fishing industry.  How many animals must suffer like this before we recognize the impacts of our food choices? 🎣💔",Simon Plazolles-Hayes,,936,0,936,953,0,953,0.0,0.0,0.0,0,0,0,0,53,0.0,0.0,0.0,14.0,132.4,https://www.facebook.com/919601049879701
02/09/2024 06:00 PM EST -0500,Plant-based Protein Innovations Are Set to Capture Taste Buds with a Forecasted US$ 42.55 billion Market Valuation by 2034.  What are your favorite new vegan products?,Simon Plazolles-Hayes,AI Article,530,0,530,544,0,544,28.0,5.3,5.1,3,3,0,0,4,,,,,,https://www.facebook.com/444838681200628
02/10/2024 06:59 AM EST -0500,"""Every chicken breast and milk carton you spurn lowers the demand on industries responsible for egregious environmental harm – and spares countless animal lives from needless suffering.""  What's one dish you rediscovered or fell in love with after going plant-based?  🥗💚",Simon Plazolles-Hayes,AI Article,516,0,516,539,0,539,24.0,4.7,4.5,5,5,0,0,3,,,,,,https://www.facebook.com/445152041169292
02/10/2024 01:14 PM EST -0500,"We should never be too busy for compassion. Whenever and wherever we can make the choice, choose vegan.",Simon Plazolles-Hayes,,9138,0,9138,9189,0,9189,0.0,0.0,0.0,4,4,0,0,281,0.0,0.0,0.0,10.0,39.2,https://www.facebook.com/1448181849102511
02/10/2024 03:00 PM EST -0500,"Celebrating #WorldPulsesDay, the best sources of vegan proteins. 🌱💪  A plant-based vegan diet is not only ethical but also incredibly nutritious and beneficial for health. 🥗  Choose veganism to nourish your body, mind, and soul!  Top 20 plant based protein sources: https://genv.pulse.ly/msruws5kgl",Jamie Logan,,1420,0,1420,1434,0,1434,40.0,2.8,2.8,16,5,11,0,1,,,,,,https://www.facebook.com/photo.php?fbid=445394674478362&set=a.296116792739485&type=3
02/10/2024 05:59 PM EST -0500,"""Farm Sanctuary's mission is to create a world where Sanctuary replaces exploitation."" 🌱  How do your food choices contribute to a kinder, more sustainable world for all beings?  🐄🌎🌿",Simon Plazolles-Hayes,AI Article,283,0,283,299,0,299,17.0,6.0,5.7,0,0,0,0,1,,,,,,https://www.facebook.com/445459977805165
02/11/2024 07:00 AM EST -0500,"""Wait for the sizzle! 🍳 A new study shows that four in five people are willing to purchase animal-free cheese. It's all about the taste—59% said they'd avoid alternatives if they didn't match up in flavor.""  What would convince you to switch to plant-based alternatives if you haven't already? 🌱🧀",Simon Plazolles-Hayes,AI Article,727,0,727,741,0,741,17.0,2.3,2.3,7,7,0,0,0,,,,,,https://www.facebook.com/445781161106380
02/11/2024 09:51 AM EST -0500,"Love in action! 💚🐄  Rescued from the dairy and meat industry by Ahimsa Santuario Valedarainha, these babies now have the opportunity to experience love, care, and safety.  Give compassion a chance. Go vegan! 🌱",Simon Plazolles-Hayes,,3770,0,3770,3888,0,3888,0.0,0.0,0.0,0,0,0,0,69,0.0,0.0,0.0,6.0,18.5,https://www.facebook.com/357534240449989
02/11/2024 11:38 AM EST -0500,"No one needs to eat a dead bird’s wings during the big game. Instead, why not tuck into tasty plant-based wings which use the exact same spices you already love?  Are you eating vegan chick’n for the Super Bowl?",Simon Plazolles-Hayes,,47461,0,47461,47461,0,47461,0.0,0.0,0.0,0,0,0,0,1303,0.0,0.0,0.0,8.0,139.3,https://www.facebook.com/1069316087508773
02/11/2024 05:58 PM EST -0500,"There’s nothing “Super” about this #SuperBowl statistic, because a chicken’s life is worth far more than a wing.",Simon Plazolles-Hayes,,2228,0,2228,2254,0,2254,104.0,4.7,4.6,8,0,8,0,21,,,,,,https://www.facebook.com/photo.php?fbid=446083487742814&set=a.296116792739485&type=3
02/11/2024 05:59 PM EST -0500,"Tech for compassion! The Vegan Hacktivists are coding to change the world, creating free digital tools to end animal exploitation 🌱✨.  What technology do you think could further animal rights and support a vegan lifestyle?",Simon Plazolles-Hayes,AI Article,299,0,299,314,0,314,7.0,2.3,2.2,3,3,0,0,0,,,,,,https://www.facebook.com/446083997742763
02/12/2024 07:00 AM EST -0500,"🍌🥞 Vegan breakfasts are more decadent and diverse than ever! From savoury scrambles to sweet, fluffy pancakes, there's a plant-based dish for every palate.  What's your favourite vegan breakfast?🌱✨",Simon Plazolles-Hayes,AI Article,302,0,302,317,0,317,9.0,3.0,2.8,2,2,0,0,0,,,,,,https://www.facebook.com/446379927713170
02/12/2024 07:00 AM EST -0500,Are you looking for the perfect vegan-friendly gifts to show your loved ones how much you care this Valentine’s Day? Look no further!  We have curated a list of thoughtful and compassionate gifts that align with the values of veganism and animal rights.  ,Jamie Logan,,642,0,642,667,0,667,21.0,3.3,3.1,5,5,0,0,1,,,,,,https://www.facebook.com/446380014379828
02/12/2024 04:00 PM EST -0500,"A light and creamy dessert without animal exploitation. This passion fruit mousse proves that a plant-based diet can be incredibly simple and delightfully tasty. 🥄✨  📃 INGREDIENTS 50g cashews or peanuts 100g firm tofu 1 large passion fruit, pulp only Yellow fruit jelly to taste  👩‍🍳 INSTRUCTIONS Soak the cashews in hot water for at least 15 minutes. Drain the cashews and blend them with the tofu, the pulp of half a passion fruit, and as much yellow fruit jelly as needed to form a smooth and creamy texture. Divide into bowls and top with the pulp of the other half of the passion fruit for decoration. Serve chilled.  Tip: You can also make a version with strawberries! 🍓  Visit https://GenV.pulse.ly/omygm0mlio and discover more vegan recipes.  #Veganism #VeganRecipe #VeganMousse #VeganSweet #VeganDessert",Jamie Logan,,2231,0,2231,2378,0,2378,60.0,2.7,2.5,12,1,11,0,15,,,,,,https://www.facebook.com/photo.php?fbid=446620457689117&set=a.296116792739485&type=3
02/12/2024 04:01 PM EST -0500,This mother cow fought to defend her baby against a farmer who wanted to separate them. Dairy farmers steal calves from their mothers so they can sell their milk to consumers.  Do you think it is time for the dairy industry to end?,Simon Plazolles-Hayes,,9551,0,9551,9857,0,9857,0.0,0.0,0.0,0,0,0,0,699,0.0,0.0,0.0,17.0,97.0,https://www.facebook.com/407692288448438
02/12/2024 04:37 PM EST -0500,"Don’t miss your chance to see Kip Andersen’s new film, Christspiracy, before everyone else! Private screening this Friday 2/18 at UCSB.   Book tickets: https://www.eventbrite.com/e/christspiracy-test-film-screening-tickets-815799005787?aff=oddtdtcreator",,,162,0,162,167,0,167,5.0,3.1,3.0,1,1,0,0,0,,,,,,https://www.facebook.com/446632854354544
02/12/2024 06:00 PM EST -0500,"Discover the joys of chickpea pasta—a delicious gluten-free twist on classic Italian with this article's ultimate recipes! 🍝 ""Love pasta but can’t handle the gluten? Say hello to chickpea pasta!""  What's your go-to plant-based pasta dish? Remember, a delicious meal can also be kind to animals and the planet! 🌱🐾",Simon Plazolles-Hayes,AI Article,366,0,366,394,0,394,16.0,4.4,4.1,6,6,0,0,4,,,,,,https://www.facebook.com/446659487685214
02/13/2024 07:00 AM EST -0500,"""Plant-based vaccines have emerged as a promising avenue for safer, more accessible, and cost-effective vaccine development."" 💉🌱  Should the government do more to promote plant-based vaccines? 🤔",Simon Plazolles-Hayes,AI Article,273,0,273,287,0,287,4.0,1.5,1.4,1,1,0,0,0,,,,,,https://www.facebook.com/446959637655199
02/13/2024 09:00 AM EST -0500,"Being vegan adds more joy and consciousness to the festivities! 🎉  1. Ethical costumes: the magic of carnival lies in diversity and originality. Use ribbons, fringes, or strips of fabric to add texture and movement to your costume.  2. Shine with sustainability. Conventional glitter is a threat to the environment and animals by contaminating soil, rivers, and seas. Replace regular glitter with biodegradable vegan options.  3. Vegan snacks for the festivities. Peanuts, nuts, and various seeds are perfect for quick satiety. Fruits are excellent for refreshing the body and replenishing vitamins and minerals.  4. Conscious hydration. Opt for natural juices, coconut water, and, of course, plenty of water to stay hydrated.  5. Fun, awareness, and inspiration. Prove that celebration and ethics can go hand in hand. Be the inspiration that Carnival needs to be a cruelty-free celebration!",Jamie Logan,,2506,0,2506,2506,0,2506,25.0,1.0,1.0,4,0,4,0,4,,,,,,https://www.facebook.com/photo.php?fbid=447018180982678&set=a.296116792739485&type=3
02/13/2024 01:00 PM EST -0500,Here are our recommendations for your vegan Valentine’s Day menu that will really hit the spot...  https://genv.org/vegan-valentines-day-meals-that-are-guaranteed-to-impress/,Jamie Logan,,565,0,565,585,0,585,19.0,3.4,3.2,5,5,0,0,1,,,,,,https://www.facebook.com/447141200970376
02/13/2024 02:51 PM EST -0500,"This film will change the way you think about faith, ethics, and our relationship with animals, forever.  RESERVE YOUR SEAT NOW: https://pulse.ly/3fuazir9ag  Any backers of the Christspiracy KickStarter or IndieGoGo crowdfund campaigns are invited as priority to this event, otherwise your digital early access will be available soon!",,,1718,0,1718,1791,0,1791,84.0,4.9,4.7,1,1,0,0,34,659.0,0.0,659.0,11.0,24.1,https://www.facebook.com/447187027632460
02/13/2024 05:22 PM EST -0500,Eggs are not all they’re cracked up to be. Animals still suffer and die for a product no one needs.  Don't chickens deserve more than this? 🥚💭  📽️ Toronto Chicken Save,Simon Plazolles-Hayes,,544,0,544,556,0,556,0.0,0.0,0.0,0,0,0,0,42,0.0,0.0,0.0,13.0,43.8,https://www.facebook.com/8048825998466335
02/13/2024 06:00 PM EST -0500,"🌿Exciting news as Chunk Foods expands with new funding and brings its plant-based whole cuts to Latin America for a kinder, sustainable future. 🌎  How do you think this shift in food technology will impact our food choices? 🕊️✨",Simon Plazolles-Hayes,AI Article,628,0,628,670,0,670,20.0,3.2,3.0,3,3,0,0,2,,,,,,https://www.facebook.com/447252327625930
02/14/2024 07:00 AM EST -0500,Exciting news for plant lovers! 🌱 The plant-based meat market is anticipated to burgeon to a whopping $15.7 billion by 2027.  What's your favorite plant-based dish that could convince a meat-lover to go vegan? 🥗🍔,Simon Plazolles-Hayes,AI Article,483,0,483,505,0,505,12.0,2.5,2.4,2,2,0,0,0,,,,,,https://www.facebook.com/447570854260744
02/14/2024 09:00 AM EST -0500,"🐥🐷📢We have huge news! Today we are launching our BRAND NEW 7-day Vegan for Spirituality challenge!  🍔🥩🥚If you’ve been considering ditching meat and dairy due to spiritual reasons, this is the challenge for you!  📆When you register, you will receive daily newsletters with a lot of resources to embark on this beautiful vegan journey.  And you know what?! It’s FREE!  👉🏽Join now at GenV.org/go-vegan",Jamie Logan,,1489,0,1489,1497,0,1497,33.0,2.2,2.2,6,3,3,0,5,,,,,,https://www.facebook.com/photo.php?fbid=447630637588099&set=a.296116792739485&type=3
02/14/2024 04:03 PM EST -0500,"If you are a loving, compassionate, and spiritual person, you need to sign up for this challenge!  Through love, altruism, awe, wisdom, truth, and forgiveness we hope to inspire you to change the way you eat. It will be a beautiful journey of discovery!  Generation Vegan is a non-profit organization dedicated to educating about the environmental, ethical, personal, and public health benefits of adopting a plant-based diet.  Take the free challenge at: genv.org/buffalos",,,8049,0,8049,8515,0,8515,434.0,5.4,5.1,55,23,32,0,59,,,,,,https://www.facebook.com/photo.php?fbid=447829487568214&set=a.296116792739485&type=3
02/14/2024 05:59 PM EST -0500,"Three neglected bulls find a compassionate new start at a vegan sanctuary in New Jersey, where they're promised a lifetime of care 🌱🐂  What small changes do you think everyone could make to support animal well-being? 🤔💚",Simon Plazolles-Hayes,AI Article,620,0,620,639,0,639,27.0,4.4,4.2,6,6,0,0,1,,,,,,https://www.facebook.com/447868777564285
02/15/2024 07:00 AM EST -0500,"🌱⚽ ""According to the campaign, if UK football fans swapped to having one veggie meal a day, we could save the equivalent of removing 5.5 million cars from the road every year.""  What's your favorite plant-based dish to fuel your active lifestyle? 🥗🏃‍♂️🏃‍♀️",Simon Plazolles-Hayes,AI Article,2765,0,2765,2860,0,2860,137.0,5.0,4.8,48,48,0,0,37,,,,,,https://www.facebook.com/448178680866628
02/15/2024 01:01 PM EST -0500,"Milk companies try to sell consumers the lie of happy cows naturally grazing on wide-open pastures. Yet modern dairy production is nothing like this. It is mechanized, industrial, and cruel. Tiny calves are stolen from their mothers and confined alone in pens and hutches.  Does this look natural and ethical to you?",Simon Plazolles-Hayes,,1078,0,1078,1113,0,1113,0.0,0.0,0.0,0,0,0,0,37,0.0,0.0,0.0,12.0,53.5,https://www.facebook.com/1089030059072173
02/15/2024 06:00 PM EST -0500,"🥦 Dive into Veganuary with deliciousness in every bite! From chilli sin carne to a succulent burger, Redefine Meat’s step-by-step recipes make plant-based eating a joy for meat lovers. 🍔  What's your favorite comfort food you'd love to see in a vegan version? 😋🌱",Simon Plazolles-Hayes,AI Article,451,0,451,475,0,475,13.0,2.9,2.7,7,7,0,0,0,,,,,,https://www.facebook.com/448470637504099
02/16/2024 07:00 AM EST -0500,"🌱 'A new analysis of over 50,000 people found that replacing just 100 grams of red meat per week with whole grains, fruits, or vegetables was associated with a reduced risk of colorectal cancer.' 🥦  How do you incorporate more plant-based options into your meals to stay healthy and protect our animal friends?",Simon Plazolles-Hayes,AI Article,709,0,709,747,0,747,45.0,6.3,6.0,6,6,0,0,4,,,,,,https://www.facebook.com/448783107472852
02/16/2024 10:05 AM EST -0500,"Drinking milk is not a victimless act. Behind each glass of milk, slice of cheese, or scoop of ice cream is the extreme suffering of cows and their calves.  No product is worth this much pain and violence, especially when plant-based alternatives are indistinguishable and readily available.",,,456,0,456,467,0,467,41.0,9.0,8.8,0,0,0,0,12,218.0,0.0,218.0,12.0,13.3,https://www.facebook.com/448871027464060
02/16/2024 02:19 PM EST -0500,"Who else yawned? ☝️  Sadly, this jaguar, a symbol of Brazilian wildlife, is losing her home. The reason? Animal farming.  Entire forest areas are destroyed to make way for pastures and monoculture plantations, primarily soy and corn. These crops are intended for animal feed in the meat, dairy, and egg industries.  Learn more about the environmental impacts of farmed animals and its effects on wildlife👇🏽 https://genv.pulse.ly/melnyfqqgb  Choose to protect animals and nature. Choose veganism. 🌱  🎥 Credit: @gufigueiroa (IG) 📍 Pantanal, Brazil.",Jamie Logan,,1982,0,1982,1987,0,1987,0.0,0.0,0.0,0,0,0,0,28,0.0,0.0,0.0,5.0,42.2,https://www.facebook.com/3735218673378644
02/16/2024 05:59 PM EST -0500,"🌿 ""Chemical evidence from the bones revealed plant foods to be a major part (around 80%) of the diets of the Andes hunter-gatherers.""  How does understanding the diets of ancient societies influence your food choices today? 🥗✨",Simon Plazolles-Hayes,AI Article,864,0,864,897,0,897,52.0,6.0,5.8,5,5,0,0,8,,,,,,https://www.facebook.com/449058020778694
02/17/2024 06:59 AM EST -0500,"""In the darkness, strawberries smell like home."" 🍓🌌 From space farmbots to zero-gravity beer, researchers are revolutionizing the way astronauts will dine in the cosmos. 🚀🌿  What foods would you miss most if you were light-years away from Earth? Share your cosmic cravings with us! 🌟👩‍🚀👨‍🚀",Simon Plazolles-Hayes,AI Article,348,0,348,353,0,353,4.0,1.1,1.1,1,1,0,0,0,,,,,,https://www.facebook.com/449332880751208
02/17/2024 09:01 AM EST -0500,Professionals like Dr. Bruno Shoiti are working to demystify prejudices against veganism in childhood.  Parents don’t need to worry; being vegan during childhood can be healthy and a significant benefit to the child. 🌱  👨‍⚕️@shoitipediatra,Simon Plazolles-Hayes,,2556,0,2556,2612,0,2612,103.0,4.0,3.9,9,0,9,0,24,,,,,,https://www.facebook.com/photo.php?fbid=449386334079196&set=a.296116792739485&type=3
02/17/2024 06:00 PM EST -0500,🌱 Making a switch to a vegan lifestyle is not just about changing what's on our plates; it's a commitment to kindness and compassion for all beings. 🐮  ❤️ How do you think our relationship with animals would change if the shift to veganism were global?,Simon Plazolles-Hayes,AI Article,1331,0,1331,1355,0,1355,114.0,8.6,8.4,54,54,0,0,45,,,,,,https://www.facebook.com/449600340724462
02/18/2024 07:00 AM EST -0500,"Looking for sweetness without the guilt? 🤤 ""These vegan bakeries have mastered the art of crafting mouthwatering desserts without compromising on ethical principles."" 🍰  Plant-based pâtisseries are proving that indulgence can be cruelty-free and oh-so-delicious.  What's your favorite vegan treat that always hits the spot? 🌱🍩🐮❤️🍪",Simon Plazolles-Hayes,AI Article,451,0,451,479,0,479,14.0,3.1,2.9,4,4,0,0,0,,,,,,https://www.facebook.com/449889614028868
02/18/2024 10:04 AM EST -0500,"Every day, thousands of ships haul crabs and other marine species out of the ocean to suffer and die for food. These extreme practices not only harm animals but they also damage the ocean. 🦀  Want to save aquatic life? Stop eating them. 🐟",Simon Plazolles-Hayes,,738,0,738,743,0,743,0.0,0.0,0.0,0,0,0,0,13,0.0,0.0,0.0,7.0,43.0,https://www.facebook.com/398617489383313
02/18/2024 06:00 PM EST -0500,"🌱 ""I feel we are in a place where our businesses must give back to our earth instead of depleting it"" 🌿 - Leona Lewis on empowering compassion through her vegan coffee shop, Coffee and Plants.  What inspires you to make choices that are kind to our planet and its inhabitants? ☕💚🌎",Simon Plazolles-Hayes,AI Article,1136,0,1136,1140,0,1140,49.0,4.3,4.3,18,18,0,0,0,,,,,,https://www.facebook.com/450163864001443
02/19/2024 07:00 AM EST -0500,"🌱 ""The pull of nostalgia is what makes a dish greater than the sum of its parts."" 🍴  What's your favorite nostalgic dish turned vegan? Share with us! 🥘💚",Simon Plazolles-Hayes,AI Article,518,0,518,541,0,541,18.0,3.5,3.3,9,9,0,0,0,,,,,,https://www.facebook.com/450450583972771
02/19/2024 08:00 AM EST -0500,"☝🏽We are always inviting you to subscribe to our vegan challenges. But, what are they really? 🤔  🚪Let’s put it this way: our vegan challenges are the door to your new plant-based lifestyle. They will provide you with multiple vegan resources, such as a weekly meal plan, a nutrition guide, and lots of recipes!  👉🏽What should you expect with the challenges?  🤓📚Lessons: You will learn a lot about the impact of our food choices on other people, animals, the environment, and your own health.  👩🏻‍🦳👩🏻‍🏫Authenticity: You will bring your ethics in line with your actions, which can only lead you closer to your best self.  ✊🏾💪🏽Motivation: You will feel empowered to put more love and compassion out into the world through your considered choices.  🧑🏾‍🌾👩🏽‍🍳Innovation: You will be introduced to new foods and ingredients, and new ways of cooking, which is likely to benefit your own wellbeing, and bring you more joy.  🙈🙉🙊Have we convinced you to join? We hope so! Go to https://GenV.pulse.ly/nm5m7mao0l and subscribe for free today!",Jamie Logan,,1917,0,1917,1942,0,1942,53.0,2.8,2.7,34,1,33,0,6,,,,,,https://www.facebook.com/450481053969724
02/19/2024 09:00 AM EST -0500,"""Everything I read disappeared the moment I stood in the yard at the front of the slaughterhouse… and heard the first screams.""",ADMIN ACCOUNT,,6249,0,6249,6340,0,6340,604.0,9.7,9.5,168,168,0,0,251,,,,,,https://www.facebook.com/450509300633566
02/19/2024 09:00 AM EST -0500,Did you know apples can transform a savory dish with a delicious sweetness? 🍏✨ Try this vegan apple biryani packed with veggies and aromatic spices - a perfect twist on a traditional favorite! 🌱  🥘 How do you like to incorporate fruits into your savory meals?,Simon Plazolles-Hayes,AI Article,348,0,348,359,0,359,9.0,2.6,2.5,2,2,0,0,0,,,,,,https://www.facebook.com/450509387300224
02/19/2024 11:30 AM EST -0500,Undercover investigations are the only way to see the truth of what’s happening behind the closed doors of a slaughterhouse.  Scott David from Animal Outlook shares his experience of being an investigator and working inside these facilities.  Watch the full interview: https://youtu.pulse.ly/sppugw0qqd,,,600,0,600,609,0,609,22.0,3.7,3.6,0,0,0,0,6,177.0,0.0,177.0,9.0,21.5,https://www.facebook.com/450582040626292
02/19/2024 03:48 PM EST -0500,"🦬Did you know that with one click you can support over 1,000 animals? By subscribing to one of Gen V's 7-day vegan challenges, not only are you getting started on a path that will leave animals off your plate, but you'll also donate $1 USD that will go towards assisting buffaloes that have been rescued in Brazil.  🐙Whether you want to try veganism to help animals, the planet, your health, humanity or for spiritual reasons, Gen V's challenges will allow you to make a healthy transition to a lifestyle more compassionate to all beings on the planet.  👉🏽What are you waiting for? Sign up today: https://genv.org/buffalos/",Simon Plazolles-Hayes,,1284,0,1284,1297,0,1297,0.0,0.0,0.0,1,1,0,0,14,0.0,0.0,0.0,7.0,8.0,https://www.facebook.com/807793658032655
02/19/2024 05:59 PM EST -0500,"🍠 ""Chickpeas bring protein and potatoes, whether sweet or white, bring bulk, fiber, and energy. They are all great in soups, stews, and curries."" 🥗  Could a plant-based diet featuring foods like these be the key to a healthier life AND a happier Earth? 🌍 Share your favorite vegan dish that includes chickpeas or potatoes! 🌱✨",Simon Plazolles-Hayes,AI Article,375,0,375,390,0,390,12.0,3.2,3.1,5,5,0,0,0,,,,,,https://www.facebook.com/450720317279131
02/20/2024 07:00 AM EST -0500,"""Chopped hearts of palm take the stage in place of crab in these delectable Hearts of Baltimore 'Crab Cakes', creating a compassionate classic that dazzles the taste buds without harm to sea life 🌊🦀.  🤔 Have you tried swapping traditional ingredients for plant-based alternatives in your favorite dishes? Share your experience! 🌱✨",Simon Plazolles-Hayes,AI Article,387,0,387,405,0,405,17.0,4.4,4.2,11,11,0,0,1,,,,,,https://www.facebook.com/450997783918051
02/20/2024 08:01 AM EST -0500,"Milk is not harmless. 🥛  Here are some things you should know about the dairy industry: 🥛 Cows are forcibly impregnated repeatedly. 🥛 They are separated from their calves, causing both of them extreme distress. 🥛 When they can no longer produce as much milk, the cows are taken to the slaughterhouse. 🥛If their calves cannot be monetized — raised for veal or milk — they are killed at birth. 🐮 It's time to reconsider dairy consumption and explore plant-based alternatives. Choose veganism #ForTheAnimals.  Try vegan with us today at genv.org/go-vegan!",Jamie Logan,,810,0,810,810,0,810,0.0,0.0,0.0,0,0,0,0,7,0.0,0.0,0.0,6.0,24.4,https://www.facebook.com/377112271728276
02/20/2024 09:00 AM EST -0500,Do you really know what is in a chicken nugget?,ADMIN ACCOUNT,,3249,0,3249,3249,0,3249,276.0,8.5,8.5,73,73,0,0,118,,,,,,https://www.facebook.com/451054450579051
02/20/2024 09:00 AM EST -0500,"🌊 ""To feed the growing global population, 90% of the world’s fish stocks have been fully fished or overfished"" - Kelly Pan, Impact Food’s co-founder.  🌿What change could you make in your diet to help protect our precious marine life? 🐟🌱",Simon Plazolles-Hayes,AI Article,950,0,950,989,0,989,40.0,4.2,4.0,4,4,0,0,8,,,,,,https://www.facebook.com/451054473912382
02/20/2024 10:00 AM EST -0500,"In 2023, we helped rescue 1,000 buffaloes who were left to die of hunger. Today, they live in two sanctuaries in Brazil: Vale da Rainha and Rancho dos Gnomos. We want to support the care of these incredible animals by donating 1 dollar for every person who subscribes to our new 7-day Vegan for Spirituality challenge.  This is a beautiful opportunity to make a transition to veganism while helping the buffalos of Brotas. Go to https://genv.org/buffalos/ and sign up!",Jamie Logan,,1460,0,1460,1461,0,1461,20.0,1.4,1.4,7,2,5,0,3,,,,,,https://www.facebook.com/photo.php?fbid=451081223909707&set=a.296116792739485&type=3
02/20/2024 05:59 PM EST -0500,"Wondering how to spruce up your brunch with something that's delicious and full of protein without harming any animals? Look no further than this mouthwatering vegan French toast! Triple-win - for your taste buds, for the animals, and for the environment.  ""Every non-vegan who has tried this recipe has been blown away by how authentic it tastes!"" 🍞✨  🤔 Curious - what's your favorite plant-based topping to pair with French toast? 🍓🍁",Simon Plazolles-Hayes,AI Article,381,0,381,401,0,401,15.0,3.9,3.7,9,9,0,0,0,,,,,,https://www.facebook.com/451255810558915
02/21/2024 07:00 AM EST -0500,"""I literally held my nose while watching this,"" reveals a Worcestershire sauce fan after discovering its traditional anchovy ingredient. 🐟😲  But don't worry, there are vegan alternatives that don't involve our fishy friends! 🌿  What other products have you found surprising ingredients in?",Simon Plazolles-Hayes,AI Article,729,0,729,729,0,729,24.0,3.3,3.3,17,17,0,0,1,,,,,,https://www.facebook.com/451517767199386
02/21/2024 09:00 AM EST -0500,"""The American Cancer Society predicts more than 2 million new cancer cases and 600,000 cancer deaths. A growing number of studies point to plant-based diets to keep these numbers at bay.""  Will you choose vegan for your health? 🌱🤔",Simon Plazolles-Hayes,AI Article,498,0,498,509,0,509,33.0,6.6,6.5,9,9,0,0,8,,,,,,https://www.facebook.com/451569453860884
02/21/2024 09:00 AM EST -0500,How much we love cheese is actually a tricky question after all.,ADMIN ACCOUNT,,763,0,763,786,0,786,30.0,3.9,3.8,15,15,0,0,4,,,,,,https://www.facebook.com/451569447194218
02/21/2024 10:18 AM EST -0500,"Did you know that honey is not vegan?  While it may seem like a harmless sweetener, vegans avoid it because it's a product of exploitation.  Let's choose kindness for all creatures, no matter their size 🐝🌱.  #honey #bees",,,11738,0,11738,12026,0,12026,757.0,6.4,6.3,51,0,51,0,686,,,,,,https://www.facebook.com/451605010523995
