Unnamed,"""index""",id,policyareas,cursummary,curtext,title,titlesofficial,titlesshort,sponsorname,sponsorparty,sponsorstate
                includes a low-income community, a community that 
                includes indigenous peoples, and a community of color.
            (7) Material recovery facility.--The term ``material 
        recovery facility'' means a solid waste management facility 
        that processes materials for reuse or recycling.
            (8) Renewable energy.--The term ``renewable energy'' means 
        energy supplied by a project that uses wind, solar, geothermal, 
        wave, current, tidal, or ocean thermal energy to generate 
        electricity.
            (9) Secretary.--The term ``Secretary'' means the Secretary 
        of the Army, acting through the Chief of Engineers.
            (10) Single-use plastic.--
                    (A) In general.--The term ``single-use plastic'' 
                means a plastic product or packaging that is routinely 
                disposed of, recycled, or otherwise discarded after a 
                single use.
                    (B) Exclusions.--The term ``single-use plastic'' 
                does not include--
                            (i) medical food, supplements, devices, or 
                        other products determined by the Secretary of 
                        Health and Human Services to necessarily be 
                        made of plastic for the protection of public 
                        health; or
                            (ii) packaging that is--
                                    (I) for any product described in 
                                clause (i); or
                                    (II) used for the shipment of 
                                hazardous materials that is prohibited 
                                from being composed of used materials 
                                under section 178.509 or section 
                                178.522 of title 49, Code of Federal 
                                Regulations (as in effect on the date 
                                of enactment of this Act).
            (11) Temporary pause period.--The term ``temporary pause 
        period'' means the period--
                    (A) beginning on the date of enactment of this Act; 
                and
                    (B) ending on the date that is the first date on 
                which all regulations required under subsections (d) 
                and (e) are in effect.
            (12) Zero-emissions energy.--
                    (A) In general.--The term ``zero-emissions energy'' 
                means renewable energy the production of which emits no 
                greenhouse gases at the production source.
                    (B) Exclusions.--The term ``zero-emissions energy'' 
                does not include any energy generated by--
                            (i) a waste-to-energy technology;
                            (ii) an incinerator; or
                            (iii) any other similar technology, as 
                        determined by the Administrator.
    (b) Temporary Pause.--
            (1) In general.--Subject to paragraph (2), during the 
        temporary pause period, notwithstanding any other provision of 
        law--
                    (A) the Administrator shall not issue a new permit 
                for a covered facility under--
                            (i) the Clean Air Act (42 U.S.C. 7401 et 
                        seq.); or
                            (ii) the Federal Water Pollution Control 
                        Act (33 U.S.C. 1251 et seq.);
                    (B) the Secretary shall not issue a new permit for 
                a covered facility under section 404 of the Federal 
                Water Pollution Control Act (33 U.S.C. 1344);
                    (C) the Administrator shall object in writing under 
                subsections (b) and (c) of section 505 of the Clean Air 
                Act (42 U.S.C. 7661d) or section 402(d)(2) of the 
                Federal Water Pollution Control Act (33 U.S.C. 
                1342(d)(2)), as applicable, to any new permit issued to 
                a covered facility by a State agency delegated 
                authority under the Clean Air Act (42 U.S.C. 7401 et 
                seq.) or the Federal Water Pollution Control Act (33 
                U.S.C. 1251 et seq.); and
                    (D) subject to subsection (g), the export of 
                covered products is prohibited.
            (2) Exception.--Paragraph (1) does not apply to a permit 
        described in that paragraph for a facility that is--
                    (A) a material recovery facility; or
                    (B) a compost facility.
    (c) Study.--
            (1) In general.--
                    (A) Agreement.--The Administrator shall offer to 
                enter into an agreement with the National Academy of 
                Sciences and the National Institutes of Health to 
                conduct a study of--
                            (i) the existing and planned expansion of 
                        the industry of the producers of covered 
                        products, including the entire supply chain, 
                        the extraction and refining of feedstocks, end 
                        uses, disposal fate, and lifecycle impacts of 
                        covered products;
                            (ii) the environmental justice and 
                        pollution impacts of covered facilities and the 
                        products of covered facilities;
                            (iii) the existing standard technologies 
                        and practices of covered facilities with 
                        respect to the discharge and emission of 
                        pollutants into the environment; and
                            (iv) the best available technologies and 
                        practices that reduce or eliminate the 
                        environmental justice and pollution impacts of 
                        covered facilities and the products of covered 
                        facilities.
                    (B) Failure to enter agreement.--If the 
                Administrator fails to enter into an agreement 
                described in subparagraph (A), the Administrator shall 
                conduct the study described in that subparagraph.
            (2) Requirements.--The study under paragraph (1) shall--
                    (A) consider--
                            (i) the direct, indirect, and cumulative 
                        environmental impacts of the industries of 
                        covered facilities to date; and
                            (ii) the impacts of the planned expansion 
                        of those industries, including local, regional, 
                        national, and international air, water, waste, 
                        climate change, public health, and 
                        environmental justice impacts of those 
                        industries; and
                    (B) recommend technologies, standards, and 
                practices to remediate or eliminate the local, 
                regional, national, and international air, water, 
                waste, climate change, public health, and environmental 
                justice impacts of covered facilities and the 
                industries related to covered facilities.
            (3) Report.--Not later than 18 months after the date of 
        enactment of this Act, the Administrator shall submit to 
        Congress a report describing the results of the study under 
        paragraph (1).
    (d) Clean Air.--
            (1) Timely revision of emissions standards.--Section 
        111(b)(1)(B) of the Clean Air Act (42 U.S.C. 7411(b)(1)(B)) is 
        amended by striking the fifth sentence.
            (2) National source performance standards implementation 
        improvements.--
                    (A) Zero-emissions energy.--Not later than 3 years 
                after the date of enactment of this Act, the 
                Administrator shall promulgate a final rule requiring 
                that--
                            (i) covered facilities that manufacture 
                        olefins, including ethylene and propylene, use 
                        only zero-emissions energy sources, except to 
                        the extent that waste gases are recycled; and
                            (ii) covered facilities that manufacture 
                        low-density polyethylene, linear low-density 
                        polyethylene, high-density polyethylene, 
                        styrene, vinyl chloride, or synthetic organic 
                        fibers use only zero-emissions energy sources, 
                        except to the extent that waste gases are 
                        recycled, unless the Administrator--
                                    (I) determines that under certain 
                                conditions (such as during the 
                                commencement or shut down of production 
                                at a covered facility), expenditures of 
                                energy that are not from zero-emissions 
                                energy sources are required; and
                                    (II) publishes the determination 
                                under subclause (I) and a proposed 
                                mixture of zero-emissions energy and 
                                non-zero-emissions energy for those 
                                conditions in a rulemaking.
                    (B) New source performance standards for certain 
                facilities.--Not later than 3 years after the date of 
                enactment of this Act, the Administrator shall 
                promulgate a final rule--
                            (i) designating ethylene, propylene, 
                        polyethylene, and polypropylene production 
                        facilities as a category of stationary source 
                        under section 111(b)(1)(A) of the Clean Air Act 
                        (42 U.S.C. 7411(b)(1)(A)); and
                            (ii) establishing new source performance 
                        standards for the category of stationary source 
                        designated under clause (i) under section 
                        111(f)(1) of the Clean Air Act (42 U.S.C. 
                        7411(f)(1)).
                    (C) Storage vessels for covered products.--Not 
                later than 3 years after the date of enactment of this 
                Act, the Administrator shall promulgate a final rule 
                modifying section 60.112b(a) of title 40, Code of 
                Federal Regulations (as in effect on the date of 
                enactment of this Act), to ensure that an owner or 
                operator of a storage vessel containing liquid with a 
                vapor pressure of equal to or more than 5 millimeters 
                of mercury under actual storage conditions that is 
                regulated under that section uses--
                            (i) an internal floating roof tank 
                        connected to a volatile organic compound 
                        control device; or
                            (ii) a fixed-roof tank connected to a 
                        volatile organic compound control device.
                    (D) Flaring.--Not later than 30 days after the date 
                of enactment of this Act, the Administrator shall 
                promulgate a final rule--
                            (i) modifying title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), to ensure that flaring, 
                        either at ground-level or elevated, shall only 
                        be permitted when necessary solely for safety 
                        reasons; and
                            (ii) modifying sections 60.112b(a)(3)(ii), 
                        60.115b(d)(1), 60.482-10a(d), 60.662(b), 
                        60.702(b), and 60.562-1(a)(1)(i)(C) of title 
                        40, Code of Federal Regulations (as in effect 
                        on the date of enactment of this Act), to 
                        ensure that--
                                    (I) references to flare standards 
                                under those sections refer to the flare 
                                standards established under clause (i); 
                                and
                                    (II) the flare standards under 
                                those sections are, without exception, 
                                continuously applied.
                    (E) SOCMI equipment leaks.--Not later than 3 years 
                after the date of enactment of this Act, the 
                Administrator shall promulgate a final rule--
                            (i) modifying section 60.482-1a of title 
                        40, Code of Federal Regulations (as in effect 
                        on the date of enactment of this Act), to 
                        ensure that owners and operators use process 
                        units and components with a leak-less or seal-
                        less design;
                            (ii) modifying section 60.482-1a(f) of 
                        title 40, Code of Federal Regulations (as in 
                        effect on the date of enactment of this Act), 
                        to ensure that owners and operators use optical 
                        gas imaging monitoring pursuant to section 
                        60.5397a of title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), on a quarterly basis, 
                        unless the owner or operator receives approval 
                        from the Administrator in writing to use Method 
                        21 of the Environmental Protection Agency (as 
                        described in appendix A-7 of part 60 of title 
                        40, Code of Federal Regulations (as in effect 
                        on the date of enactment of this Act)) with a 
                        repair threshold of 500 parts per million;
                            (iii) modifying 60.482-6a of title 40, Code 
                        of Federal Regulations (as in effect on the 
                        date of enactment of this Act), to ensure that 
                        the use of open-ended valves or lines is 
                        prohibited except if a showing is made that the 
                        use of an open-ended valve or line is necessary 
                        for safety reasons; and
                            (iv) modifying subpart VVa of part 60 of 
                        title 40, Code of Federal Regulations (as in 
                        effect on the date of enactment of this Act) to 
                        ensure that--
                                    (I) the term ``no detectable 
                                emissions'' is defined to mean an 
                                instrument reading of less than 50 
                                parts per million above background 
                                concentrations; and
                                    (II) the term ``leak'' is defined 
                                to mean an instrument reading of 
                                greater than or equal to 50 parts per 
                                million above background 
                                concentrations.
                    (F) Natural-gas fired steam boilers.--Not later 
                than 3 years after the date of enactment of this Act, 
                the Administrator shall promulgate a final rule 
                revising subpart Db of part 60 of title 40, Code of 
                Federal Regulations (as in effect on the date of 
                enactment of this Act), to ensure that boilers or 
                heaters located at an affected covered facility 
                regulated under that subpart may only burn gaseous 
                fuels, not solid fuels or liquid fuels.
                    (G) Monitoring.--Not later than 3 years after the 
                date of enactment of this Act, the Administrator shall 
                promulgate a final rule revising subparts DDD, NNN, 
                RRR, and other relevant subparts of part 60 of title 
                40, Code of Federal Regulations (as in effect on the 
                date of enactment of this Act)--
                            (i) to require continuous emissions 
                        monitoring of nitrogen oxides, sulfur dioxide, 
                        carbon monoxide, and filterable particulate 
                        matter for all combustion devices except for 
                        non-enclosed flares, including during startups, 
                        shutdowns, and malfunctions of the facilities 
                        regulated by those subparts;
                            (ii) to require--
                                    (I) accurate and continuous 
                                recordkeeping when continuous 
                                monitoring is required under clause 
                                (i); and
                                    (II) the records required under 
                                subclause (I) to be made available to 
                                the public; and
                            (iii) to require fenceline monitoring under 
                        section 63.658 of title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), for nitrogen oxides, 
                        sulfur dioxide, carbon monoxide, filterable and 
                        condensable particulate matter, and all other 
                        relevant hazardous air pollutants.
            (3) National emission standards for hazardous air 
        pollutants implementation improvements.--
                    (A) Equipment leaks of benzene.--Not later than 3 
                years after the date of enactment of this Act, the 
                Administrator shall promulgate a final rule modifying 
                section 61.112 of title 40, Code of Federal Regulations 
                (as in effect on the date of enactment of this Act) 
                that strikes subsection (c).
                    (B) Benzene waste operations.--Not later than 3 
                years after the date of enactment of this Act, the 
                Administrator shall promulgate a final rule modifying 
                subpart FF of part 61 of title 40, Code of Federal 
                Regulations (as in effect on the date of enactment of 
                this Act), to ensure that--
                            (i) the term ``no detectable emissions'' is 
                        defined to mean an instrument reading of less 
                        than 50 parts per million above background 
                        concentrations; and
                            (ii) the term ``leak'' is defined to mean 
                        an instrument reading of greater than or equal 
                        to 50 parts per million above background 
                        concentrations.
                    (C) Maximum achievable control technology standards 
                for covered facilities.--Not later than 3 years after 
                the date of enactment of this Act, the Administrator 
                shall--
                            (i) promulgate a final rule modifying 
                        subpart YY of part 63 of title 40, Code of 
                        Federal Regulations (as in effect on the date 
                        of enactment of this Act), to ensure that--
                                    (I) the generic maximum achievable 
                                control technology standards described 
                                in that subpart--
                                            (aa) require no detectable 
                                        emissions of hazardous air 
                                        pollutants, unless the 
                                        Administrator--

                                                    (AA) determines 
                                                that the maximum degree 
                                                of reduction in 
                                                emissions of hazardous 
                                                air pollutants 
                                                achievable pursuant to 
                                                section 112(d)(2) of 
                                                the Clean Air Act (42 
                                                U.S.C. 7412(d)(2)) 
                                                justifies higher 
                                                limits; and

                                                    (BB) publishes the 
                                                determination under 
                                                subitem (AA) and the 
                                                proposed higher limits 
                                                in a rulemaking;

                                            (bb) ensure an ample margin 
                                        of safety to protect public 
                                        health and prevent an adverse 
                                        environmental effect; and
                                            (cc) prevent adverse 
                                        cumulative effects to fetal 
                                        health, the health of children, 
                                        and the health of vulnerable 
                                        subpopulations; and
                                    (II) the term ``no detectable 
                                emissions'', as required under 
                                subclause (I)(aa), is defined to mean 
                                an instrument reading of less than 50 
                                parts per million above background 
                                concentrations; and
                            (ii) in promulgating the final rule 
                        required in clause (i)(I), consider--
                                    (I) the effects and risks of 
                                exposure from multiple sources of 
                                hazardous air pollutants under the 
                                subpart modified under that clause; and
                                    (II) the best available science, 
                                including science provided by the 
                                National Academies of Science.
    (e) Clean Water.--
            (1) Revised effluent limitation guidelines for the organic 
        chemical, plastics, and synthetic fibers industrial category.--
                    (A) BAT and nsps standards for plastic polymer 
                production.--Not later than 3 years after the date of 
                enactment of this Act, the Administrator shall 
                promulgate a final rule--
                            (i) that ensures that the best available 
                        technology limitations described in part 414 of 
                        title 40, Code of Federal Regulations (as 
                        modified under clause (ii)) applies to covered 
                        facilities that produce fewer than 5,000,001 
                        pounds of covered products per year;
                            (ii) modifying part 414 of title 40, Code 
                        of Federal Regulations (as in effect on the 
                        date of enactment of this Act), to ensure that 
                        the best available technology and new source 
                        performance standard requirements under that 
                        part reflect updated best available technology 
                        and best available demonstrated control 
                        technology for all pollutants discharged by 
                        covered facilities that produce covered 
                        products, including pollutants of concern that 
                        are not regulated on the date of enactment of 
                        this Act; and
                            (iii) modifying sections 414.91(b), 
                        414.101(b), and 414.111(b) of title 40, Code of 
                        Federal Regulations (as in effect on the date 
                        of enactment of this Act) to ensure that--
                                    (I) for new source performance 
                                standards for applicable covered 
                                facilities producing covered products, 
                                the maximum effluent limit for any 1 
                                day and for any monthly average for the 
                                priority pollutants described in 
                                appendix A to part 423 of title 40, 
                                Code of Federal Regulations (as in 
                                effect on the date of enactment of this 
                                Act), is 0 milligrams per liter unless 
                                the Administrator--
                                            (aa) determines that higher 
                                        limits are justified using best 
                                        available demonstrated control 
                                        technology; and
                                            (bb) publishes the 
                                        determination under item (aa) 
                                        and the proposed higher limits 
                                        in a rulemaking; and
                                    (II) for best available technology 
                                and new source performance standards, 
                                the maximum effluent limit for any 1 
                                day and for any monthly average for 
                                total plastic pellets and other plastic 
                                material is 0 milligrams per liter.
                    (B) Effluent limitations for wastewater, spills, 
                and runoff from plastic polymer production facilities, 
                plastic molding and forming facilities, and other point 
                sources associated with the transport and packaging of 
                plastic pellets or other pre-production plastic 
                materials.--Not later than 60 days after the date of 
                enactment of this Act, the Administrator shall 
                promulgate a final rule to ensure that--
                            (i) the discharge of plastic pellets or 
                        other pre-production plastic materials 
                        (including discharge into wastewater and other 
                        runoff) from facilities regulated under part 
                        414 or 463 of title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), is prohibited;
                            (ii) the discharge of plastic pellets or 
                        other pre-production plastic materials 
                        (including discharge into wastewater and other 
                        runoff) from a point source (as defined in 
                        section 502 of the Federal Water Pollution 
                        Control Act (33 U.S.C. 1362)) that makes, uses, 
                        packages, or transports those plastic pellets 
                        and other pre-production plastic materials is 
                        prohibited; and
                            (iii) the requirements under clauses (i) 
                        and (ii) are reflected in--
                                    (I) all wastewater, stormwater, and 
                                other permits issued by the 
                                Administrator and State-delegated 
                                programs under section 402 of the 
                                Federal Water Pollution Control Act (33 
                                U.S.C. 1342) to facilities and other 
                                point sources (as defined in section 
                                502 of that Act (33 U.S.C. 1362)) that 
                                make, use, package, or transport 
                                plastic pellets or other pre-production 
                                plastic materials, as determined by the 
                                Administrator, in addition to other 
                                applicable limits and standards; and
                                    (II) all standards of performance 
                                promulgated under section 312(p) of the 
                                Federal Water Pollution Control Act (33 
                                U.S.C. 1322(p)) that are applicable to 
                                point sources (as defined in section 
                                502 of that Act (33 U.S.C. 1362)) that 
                                make, use, package, or transport 
                                plastic pellets or other pre-production 
                                plastic materials, as determined by the 
                                Administrator.
            (2) Revised effluent limitations guidelines for ethylene 
        and propylene production.--
                    (A) BAT and nsps standards.--Not later than 3 years 
                after the date of enactment of this Act, the 
                Administrator shall promulgate a final rule--
                            (i) modifying sections 419.23, 419.26, 
                        419.33, and 419.36 of title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), to ensure that the best 
                        available technology and new source performance 
                        standards reflect updated best available 
                        technology and best available demonstrated 
                        control technology for all pollutants 
                        discharged by covered facilities producing 
                        ethylene or propylene; and
                            (ii) modifying sections 419.26(a) and 
                        419.36(a) of title 40, Code of Federal 
                        Regulations (as in effect on the date of 
                        enactment of this Act), to ensure that the new 
                        source performance standards for any 1 day and 
                        for average of daily values for 30 consecutive 
                        days for the priority pollutants described in 
                        appendix A to part 423 of title 40, Code of 
                        Federal Regulations (as in effect on the date 
                        of enactment of this Act), is 0 milligrams per 
                        liter unless the Administrator--
                                    (I) determines that higher limits 
                                are necessary based on the best 
                                available demonstrated control 
                                technology; and
                                    (II) the Administrator publishes 
                                the determination under item (aa) and 
                                the proposed higher limits in a 
                                rulemaking.
                    (B) Runoff limitations for ethylene and propylene 
                production.--Not later than 3 years after the date of 
                enactment of this Act, the Administrator shall 
                promulgate a final rule modifying sections 419.26(e) 
                and 419.36(e) of title 40, Code of Federal Regulations 
                (as in effect on the date of enactment of this Act), to 
                ensure that runoff limitations that reflect best 
                available demonstrated control technology are included.
    (f) Environmental Justice Requirements for Covered Facility 
Permits.--
            (1) In general.--Not later than 3 years after the date of 
        enactment of this Act, the Administrator shall promulgate a 
        final rule to ensure that--
                    (A) any proposed permit to be issued by the 
                Administrator or by a State agency delegated authority 
                under the Clean Air Act (42 U.S.C. 7401 et seq.) or the 
                Federal Water Pollution Control Act (33 U.S.C. 1251 et 
                seq.) with respect to a covered facility is accompanied 
                by an environmental justice assessment that--
                            (i) assesses the direct and cumulative 
                        economic, environmental, and public health 
                        impacts of the proposed permit on frontline 
                        communities; and
                            (ii) proposes changes or alterations to the 
                        proposed permit that would, to the maximum 
                        extent practicable, eliminate or mitigate the 
                        impacts described in clause (i);
                    (B) each proposed permit and environmental justice 
                assessment described in subparagraph (A) is delivered 
                to applicable frontline communities at the beginning of 
                the public comment period for the proposed permit, 
                which shall include notification--
                            (i) through direct means;
                            (ii) through publications likely to be 
                        obtained by residents of the frontline 
                        community, including non-English language 
                        publications; and
                            (iii) in the form of a public hearing in 
                        the frontline community--
                                    (I) for which public notice is 
                                provided--
                                            (aa) not less than 60 days 
                                        before the date on which the 
                                        public hearing is to be held; 
                                        and
                                            (bb) using the means 
                                        described in clauses (i) and 
                                        (ii); and
                                    (II) for which translation services 
                                (as defined in section 12001 of the 
                                Solid Waste Disposal Act) are provided; 
                                and
                                    (III) that is accessible through 
                                live-streaming or alternative video 
                                streaming services for which 
                                translation services (as so defined) 
                                are provided;
                    (C) the Administrator or a State agency delegated 
                authority under the Clean Air Act (42 U.S.C. 7401 et 
                seq.) or the Federal Water Pollution Control Act (33 
                U.S.C. 1251 et seq.), as applicable, shall not approve 
                a proposed permit described in subparagraph (A) 
                unless--
                            (i) changes or alterations have been 
                        incorporated into the proposed permit that, to 
                        the maximum extent practicable, eliminate or 
                        mitigate the environmental justice impacts 
                        described in subparagraph (A)(i); and
                            (ii) the changes or alterations described 
                        in clause (i) have been developed with 
                        meaningful input from residents or 
                        representatives of the frontline community in 
                        which the covered facility to which the 
                        proposed permit would apply is located or seeks 
                        to locate;
                    (D) the Administrator or a State agency delegated 
                authority under the Clean Air Act (42 U.S.C. 7401 et 
                seq.) or the Federal Water Pollution Control Act (33 
                U.S.C. 1251 et seq.), as applicable, shall not approve 
                a proposed permit described in subparagraph (A) during 
                the 45-day period beginning on the date on which a 
                public hearing described in subparagraph (B)(iii) is 
                held for the proposed permit; and
                    (E) the approval of a proposed permit described in 
                subparagraph (A) is conditioned on the covered facility 
                providing comprehensive fenceline monitoring and 
                response strategies that fully protect public health 
                and safety and the environment in frontline 
                communities.
            (2) Requirement.--The Administrator shall develop the final 
        rule required under paragraph (1) with input from--
                    (A) residents of frontline communities; and
                    (B) representatives of frontline communities.
    (g) Extended Producer Responsibility for International Plastic 
Exports.--The temporary pause on the export of covered products under 
subsection (b)(4) shall remain in place until the Secretary of Commerce 
promulgates a final rule that--
            (1) requires the tracking of covered products from sale to 
        disposal;
            (2) prohibits the export of covered products to purchasers 
        that convert those plastics into single-use plastics or energy;
            (3) requires the Secretary of Commerce, not less frequently 
        than once every 2 years and in consultation with the 
        Administrator and the Secretary of Health and Human Services, 
        to publish a report measuring and evaluating the environmental 
        and environmental justice impacts of exporting covered products 
        from sale to disposal; and
            (4) establishes enforceable mechanisms for sellers or 
        purchasers of covered products to mitigate the environmental 
        and environmental justice impacts of those covered products 
        from sale to disposal.
                                 <all>",Break Free From Plastic Pollution Act of 2021,"A bill to amend the Solid Waste Disposal Act to reduce the production and use of certain single-use plastic products and packaging, to improve the responsibility of producers in the design, collection, reuse, recycling, and disposal of their consumer products and packaging, to prevent pollution from consumer products and packaging from entering into animal and human food chains and waterways, and for other purposes.",Break Free From Plastic Pollution Act of 2021,"Sen. Merkley, Jeff",D,OR
7720,13358,H.R.2811,Animals,"Shark Fin Sales Elimination Act of 2021
This bill addresses the sale of shark fins and the inclusion of rays and skates in the Seafood Traceability Program. The Seafood Traceability Program has data reporting and recordkeeping requirements at the time of entry for imported fish or fish products entered into U.S. commerce.
The bill makes it illegal to possess, buy, or sell shark fins or any product containing shark fins, except for certain dogfish fins. A person may possess a shark fin that was lawfully taken consistent with a license or permit under certain circumstances.
Penalties are imposed for violations under the Magnuson-Stevens Fishery Conservation and Management Act.
The Department of Commerce must revise its regulations to include rays and skates as species that are subject to the Seafood Traceability Program.","To prohibit the sale of shark fins, and for other purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``Shark Fin Sales Elimination Act of 
2021''.

SEC. 2. PROHIBITION ON SALE OF SHARK FINS.

    (a) Prohibition.--Except as provided in sections 3 and 4, no person 
shall possess, offer for sale, sell, or purchase any shark fin or 
product containing any shark fin.
    (b) Penalty.--For purposes of section 308(a) of the Magnuson-
Stevens Fishery Conservation and Management Act (16 U.S.C. 1858(a)), a 
violation of this section shall be treated as an act prohibited by 
section 307 of that Act.

SEC. 3. EXEMPTION FOR TRADITIONAL FISHERIES, EDUCATION, AND SCIENCE.

    Section 2 shall not apply with respect to possession of a shark fin 
that was taken lawfully under a State, territorial, or Federal license 
or permit to take or land sharks, if the shark fin is separated from 
the shark in a manner consistent with the license or permit and is--
            (1) destroyed or discarded upon separation;
            (2) used for noncommercial subsistence purposes in 
        accordance with State or territorial law;
            (3) used solely for display or research purposes by a 
        museum, college, or university, or by any other person under a 
        State or Federal permit to conduct noncommercial scientific 
        research; or
            (4) retained by the license or permit holder for a 
        noncommercial purpose.

SEC. 4. EXEMPTION FOR DOGFISH.

    (a) In General.--It shall not be a violation of section 2 for any 
person to possess, offer for sale, sell, or purchase any fresh or 
frozen raw fin or tail from any stock of the species Mustelus canis 
(smooth dogfish) or Squalus acanthias (spiny dogfish).
    (b) Report.--By not later than January 1, 2027, the Secretary of 
Commerce should review the exemption in subsection (a) and should 
prepare and submit to the Congress a report that includes a 
recommendation on whether the exemption should continue or be 
terminated. In preparing such report and making such recommendation, 
the Secretary should analyze factors including--
            (1) the economic viability of dogfish fisheries with and 
        without the continuation of the exemption;
            (2) the impact to ocean ecosystems of continuing or 
        terminating the exemption;
            (3) the impact on enforcement of the ban contained in 
        section 3 caused by the exemption; and
            (4) the impact of the exemption on shark conservation.

SEC. 5. INCLUSION OF RAYS AND SKATES IN SEAFOOD TRACEABILITY PROGRAM.

    Not later than 1 year after the date of the enactment of this Act, 
the Secretary of Commerce shall revise section 300.324 of title 50, 
Code of Federal Regulations, to include rays and skates in the species 
and species groups specified in subsection (a)(2) of such section.

SEC. 6. DEFINITIONS.

    In this Act:
            (1) Shark.--The term ``shark'' means any species of the 
        orders Pristiophoriformes, Squatiniformes, Squaliformes, 
        Hexanchiformes, Lamniformes, Carchariniformes, 
        Orectolobiformes, and Heterodontiformes.
            (2) Shark fin.--The term ``shark fin'' means the raw, 
        dried, or otherwise processed detached fin, or the raw, dried, 
        or otherwise processed detached tail, of a shark.

SEC. 7. STATE AUTHORITY.

    Nothing in this Act affects any right of a State or territory of 
the United States to adopt or enforce any regulation or standard that 
is more stringent than a regulation or standard in effect under this 
Act.

SEC. 8. DETERMINATION OF BUDGET EFFECTS.

    The budgetary effects of this Act, for the purpose of complying 
