instruction,context,response,category
"From the passage provided, extract the FAO measurements for hunger. Separate them with a comma.","There is one globally recognized approach for defining and measuring hunger generally used by those studying or working to relieve hunger as a social problem. This is the United Nation's FAO measurement, which is typically referred to as chronic undernourishment (or in older publications, as 'food deprivation,' 'chronic hunger,' or just plain 'hunger.') For the FAO:

Hunger or chronic undernourishment exists when ""caloric intake is below the minimum dietary energy requirement (MDER). The MDER is the amount of energy needed to perform light activity and to maintain a minimum acceptable weight for attained height."" The FAO use different MDER thresholds for different countries, due to variations in climate and cultural factors. Typically a yearly ""balance sheet"" approach is used, with the minimum dietary energy requirement tallied against the estimated total calories consumed over the year. The FAO definitions differentiate hunger from malnutrition and food insecurity:
Malnutrition results from ""deficiencies, excesses or imbalances in the consumption of macro- and/or micro-nutrients."" In the FAO definition, all hungry people suffer from malnutrition, but people who are malnourished may not be hungry. They may get sufficient raw calories to avoid hunger but lack essential micronutrients, or they may even consume an excess of raw calories and hence suffer from obesity.
Food insecurity occurs when people are at risk, or worried about, not being able to meet their preferences for food, including in terms of raw calories and nutritional value. In the FAO definition, all hungry people are food insecure, but not all food-insecure people are hungry (though there is a very strong overlap between hunger and severe food insecurity.). The FAO have reported that food insecurity quite often results in simultaneous stunted growth for children, and obesity for adults. For hunger relief actors operating at the global or regional level, an increasingly commonly used metric for food insecurity is the IPC scale.
Acute hunger is typically used to denote famine like hunger, though the phrase lacks a widely accepted formal definition. In the context of hunger relief, people experiencing 'acute hunger' may also suffer from 'chronic hunger'. The word is used mainly to denote severity, not long-term duration.
Not all of the organizations in the hunger relief field use the FAO definition of hunger. Some use a broader definition that overlaps more fully with malnutrition. The alternative definitions do however tend to go beyond the commonly understood meaning of hunger as a painful or uncomfortable motivational condition; the desire for food is something that all humans frequently experience, even the most affluent, and is not in itself a social problem.

Very low food supply can be described as ""food insecure with hunger."" A change in description was made in 2006 at the recommendation of the Committee on National Statistics (National Research Council, 2006) in order to distinguish the physiological state of hunger from indicators of food availability. Food insecure is when food intake of one or more household members was reduced and their eating patterns were disrupted at times during the year because the household lacked money and other resources for food. Food security statistics is measured by using survey data, based on household responses to items about whether the household was able to obtain enough food to meet their needs.","Hunger or chronic undernourishment, Malnutrition, Food insecurity, Acute hunger",information_extraction
"If I wanted a play games with my computer, what components should I pay attention to?",,"To play games with your PC, you should get a good graphics processor, a screen with sufficient space and refresh rate, and audio acoustics to match your taste, either speakers or a good headset.  If you want to play team sports that have chat, you might want to consider a headset with a microphone.",open_qa
What books has David Duchovny written?,,Holy Cow: A Modern-Day Dairy Tale and Bucky F*cking Dent,open_qa
What foods are good sources of protein?,,"Protein is essential for body function and is great for repairing and building muscles in your body. Eggs, chicken breast, and lean beef all have a lot of protein. So do dairy items like greek yogurt, cottage cheese, and milk. Vegetarians can find high protein in legumes like lentils, black beans, and chickpeas.

If you find you aren't getting enough protein in your daily diet, consider getting a protein supplement and adding it to smoothies.",general_qa
What is the definition of Vegetarian?,"""Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, insects, and the flesh of any other animal). It may also include abstaining from eating all by-products of animal slaughter.

Vegetarianism may be adopted for various reasons. Many people object to eating meat out of respect for sentient animal life. Such ethical motivations have been codified under various religious beliefs as well as animal rights advocacy. Other motivations for vegetarianism are health-related, political, environmental, cultural, economic, taste-related, or relate to other personal preferences.""","Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, insects, and the flesh of any other animal).",closed_qa
What is the definition of Vegan?,Veganism is the practice of abstaining from the use of animal product—particularly in diet—and an associated philosophy that rejects the commodity status of animals. An individual who follows the diet or philosophy is known as a vegan.,Veganism is the practice of abstaining from the use of animal product,closed_qa
What is the best modern motorcycle for a beginning rider?,,"If you have no or little experience with motorcycles, choosing a good first motorcycle can be challenging. While it is tempting to buy your dream supersport or touring cruiser, your first bike should be one that you can feel confident on so you can quickly master the skills necessary to ride a faster or larger bike more safely. Assess a new bike not from a place of desire, but from practical perspective, and consider these qualities:

- Seat height: For most new riders, confidence comes more quickly when you can place both feet on the ground with a little bend in the knees. If you have a 32"" inseam, consider bikes with a 31"" or less seat height. If you have a 28"" inseam, consider bikes with a 27"" or lower seat height. Note that some bikes have wider ""waists"" that require you to spread your legs farther apart, so visit a dealer and sit on a variety of bikes until you find ones that you can sit comfortable atop with both feet planted.

- Center of gravity: Bikes weigh from 250 lbs (dirt bikes) to over 800 lbs (large ""dresser"" cruiser bikes). Most bikes weigh between 400 and 600 lbs. However, weight isn't what makes a bike tip over easily -- rather, it's where the center of gravity is located. Sport bikes and adventure bikes carry their weight higher and more forward in the frame, where as standard and cruiser bikes carry it lower and closer to the rider. If you, as a new rider, grab a fistful of front brake during a low speed maneuver, what is going to cause the bike to start tipping over faster? Having a heavy weight high and forward. When assessing a first bike, look at where the engine and transmission mass seems to be centered relative to rider position. Sit on the bike with both feet planted and tilt it a little to the left and the right. Do you feel more or less strain on your shoulders as you bring it back it back to center? If you feel more, that sensation will become a danger when your learning low speed maneuvers and require more physical compensation, and will inhibit your ability to develop a good low speed riding technique.

- Ergonomics: Most people feel cool in a racer's lean on a supersport, or slung back in a feet-forward posture when riding a cruiser. However, starting in those positions as a new rider can lead to discomfort, or inhibit your ability to develop solid basic riding techniques. Ideally, you want to be upright, elbows loose and bent and even with the bars. Your back should be straight with about a 5 degree forward lean. Your feet should be below your hips with a comfortable bend to the knees. In this position, you have the flexibility to better compensate for a lack of experience and technique when you encounter challenging situations on the road.

- Engine displacement: Much ado is made about choosing the right displacement for a start bike. This is a bit of a myth: very few bikes, regardless of displacement, are fundamentally hostile to a new rider when it comes to engine performance: they are as fast or as slow as you treat the throttle. That said, smaller displacement bikes tend to be lighter, have lower seats, and are generally more newbie-friendly. However, some larger displacement bikes, including 650-900cc standards and 1100cc-plus cruisers can also be safe to learn on, as they favor low-revving torque over high-revving horsepower, with relatively gentle throttle response but plenty of grunt to push you forward from idle without extensive clutch feathering and rev management. Conversely, some smaller bikes, like the Kawasaki Ninja 250, require extensive revving and frequent gear shifting to get to street and highway speeds. Ask yourself: Do I want a light bike that will force me to learn good gear and rev management (a good idea if you have track aspirations), or a heavier bike that starts moving right off idle and requires less gear changing at street speeds? That's your answer to the question of displacement.

- Throttle and brake response. Modern fuel injection, ECU development, and environmental emissions regulations have led to a situation where many sportier bikes have notchy throttles at low speeds, where closing the throttle cuts fuel and causes the bike to lurch a bit. This can be unpleasant for new riders who have yet to learn partial clutch management skills. Additionally, powerful sport bikes with inline-4 or V4 engine configuration can stutter and lurch at very low revs, requiring careful clutch and rev management that might be unfamiliar or uncomfortable to new riders -- these are bikes designed to be ridden fast, high in their powerbands. Additionally, powerful supersports and ""hooligan"" supermotos have very powerful brakes, like Brembo's Stylema or M4 units, which can easily pitch a new rider over the bars if they haven't developed a light, progressive touch on the brakes. If you, as a new rider, are having to spend your riding time compensating for unpredictable throttle behaviors or aggressive brakes, you aren't in a place to quickly learn good techniques safely.

So with all that in mind, what are some good starter bikes?

- Kawasaki Ninja 400 or Z400: If your ambition is to ride a powerful supersport (like Kawasaki's own ZX-10R), start with a Ninja 400 or Z400. The Ninja is similar in style to supersport bikes, but has raised ""clip-on"" handle bars that convey the appearance of a racer but raise the incline of your posture to a more comfortable space. They also have a slightly lower seat height, and an accommodating 399cc parallel-twin motor with good throttle response and solid but unthreatening brakes. The Z400 is a more upright version of the Ninja 400 that shares the same engine and brakes, but lacks the plastic fairing and clip-on grips. Similar bikes include Yamaha's 321cc R3 and MT-03, Honda's CBR500F and CBR500R, KTM's RC390 and Duke 390, and BMW's G310. All of them perform very similarly, and are considered great gateway bikes to sport riding. Many track enthusiasts favor these bikes due to their light weight, engaging engines, and overall low cost of maintenance and insurance. If you really feel the need for speed so early in your riding career, Yamaha's MT-07 and Triumph's Trident 660 are relatively safe choices.

- Triumph Street Twin 900. While well over 400 lbs, Triumph's Street Twin 900 is a very newbie friendly bike with a smooth, slow revving 900cc parallel-twin engine that puts down a lot of grunt and requires very little rev management -- you can short shift it any gear and still have the torque to move away cleanly without any fuss. Its comfortable seat and neutral ""standard"" riding position, along with its traction control and ABS features, mean that riding it is effortless and you won't be sore when you step off it after a long day cruising the backroads. It carries its weight low and close to the rider, and has a low-ish seat height of approximately 30"". Brakes are progressive without being intimidating, and a new rider will quickly learn good technique astride it. It also looks the part of a modern retro motorcycle, with clean curb appeal. Similar bikes include Moto Guzzi's V7 series, Kawasaki's Z650RS, and Royal Enfield's 650cc Interceptor.

- Honda's Rebel 500. While it may not be the most eye-catching cruiser at the local Starbucks, Honda's Rebel 500 is a great gateway to the cruiser world. The 500cc engine is tuned for torque, not speed, and its low seat height of around 26"" means it is approachable by riders of all heights. It can keep up with larger bikes and serves as an effective commuter, with low costs of insurance and maintenance, and can be easily customized. Similar bikes include Royal Enfield's 350 Meteor and 650 Super Meteor, and Honda's 600cc Shadow line. For those not intimidated by weight, Harley-Davidson's 1700cc Heritage Softail is a surprisingly accommodating bike for new riders, with a low seat height and an impressive center of gravity that makes the bike feel a couple hundred pounds lighter once bumped off its kickstand. Avoid the older Sportster line, often inappropriately pitched as ""the Harley for new riders"" due to their relatively low displacements compared to KD's more upmarket models -- these bikes have very high-and-forward centers of gravity and weak front brakes that can easily inhibit your skills development.

Lastly, if you're looking at adventure bikes, Royal Enfield's 400cc Himalayan, Kawasaki's Versys 300X, and BMW's G310GS provide light weights, friendly engines, and reasonable seat heights all while being moderately well-equipped for gravel or graded dirt roads.

The most important thing, however, is to take the time to sit on the bikes at a dealer and think hard about the qualities discussed in this article. If you fall in love with the hobby, the bike you get today will not be the bike you have tomorrow. Focus on learning, not fashion, and make a choice that feels comfortable and safe to you.",general_qa
"Write a friendly letter to my landlord, convincing them to let me get a cat. His name is George and my name is Steve. I live alone in Unit 2C and I work long hours. Include details regarding my rental contract that currently only permits dogs under 25 pounds and caged animals and requires pet deposit and rent. Give him examples as to why those animals are not ideal (include my dog allergy) and why a cat is better. Let him know I plan a robotic vacuum and mop to keep things clean. Tell him I've already found a potential pet at the local animal shelter, who is a two-year-old shelter cat who is housebroken and friendly. Remind him that Unit 2C does not have any carpeted floors and a tiled bathroom which is good for the future litter box. Convince him I'm open to a conversation to discuss further.",,"Hello, George,

This is Steve in Unit 2C. I hope your day is going well. I have a request I would like to ask of you.

As you know, I live alone. I have been considering getting a pet for companionship, but after reviewing my rental contract, I noticed the only permitted animals are small dogs and animals that can be kept in a tank, like hamsters and fish.

I am hoping you would reconsider these restrictions and allow me to have a cat. I am more than willing to resign a rental contract to include the requisite pet deposit and pet rent.

I thought about a dog, since those animals are already in the contract, but I don't want a dog. Since I work long hours, it's not ideal to have a dog in my unit. My unit is small and could be claustrophobic for a dog who has a lot of energy. I also don't want to leave a dog alone because it may bark and disturb the other tenants in the building. Dogs also urinate and defecate in the shared yard around the property, which is gross, considering not everyone picks up after their dogs. Also, I am allergic to dogs, so this rules out dogs.

I also considered a hamster or fish, but I am reluctant to have either of those, as well. Firstly, they do not offer the same cuddly companionship of a cat. If a hamster got loose, it could cause far more damage to a unit than a cat could -- the hamster could defecate in many areas, chew electrical wires, and chew through drywall. Fish pose a problem if the tank cracks or breaks, which would cause lots of water damage to the flooring.

I recognize there are drawbacks to any pet, including cats, and I understand that some landlords are reluctant to permit cats, because there is an impression that cats may be more destructive, such as peeing in inappropriate places. However, I believe a cat is the least-destructive option of all. As my unit is not carpeted, I don't believe persistent urination stains will be an issue. Cats are easy to litter box train and I plan to put the litter box in the tiled bathroom where there is no opportunity for urine to get into the subfloor. Cats are less destructive than dogs, because they don't chew on things like furniture and doorways. Cats also are not nearly as loud as barking dogs. 

I have already looked into pets at the local animal shelter and found a possible new roommate, who is a friendly two-year-old cat and is housebroken and box-trained. This is an ideal pet, since I don't have to risk accidents with box-training a kitten, and it's unlikely the cat will be destructive if it's already housebroken.

I believe a cat would be the ideal companion for me, given my work schedule and my preference for my ideal pet. I am happy to discuss my desire in person and further elaborate my plan on how I will continue to maintain a clean and tidy unit with a cat, such as purchasing an automatic robot vacuum and mop to ensure an extra clean space.

Please consider my request. I look forward to your response. 

Sincerely,
Steve",creative_writing
Explain to me why people decide to go vegan.,,"Vegans are primarily concerned with animal welfare. Humans do not need to eat animal products to be healthy, so using animals for food is unnecessary. Under capitalism, trillions of animals are raised in horrible conditions each year to be slaughtered to satisfy human taste buds. However, even if an animal is raised in conditions better than a factory farm, killing them is purely for taste since humans do not need to eat them to survive. Vegans view this as immoral and choose to not use animal products. 

Additionally, meat has a high carbon footprint compared to eating plants. Beef is a particularly bad offender. Vast swathes of the rainforest are cleared away to make room to raise cows for slaughter. Many vegans also care about the environment and avoiding animal products is a way to contribute less damage to the environment.",creative_writing
Summarize how tourism impacted Hawaii in a variety of areas,"Impacts of tourism in Hawaii
Economic
As Hawaii changed from a Kingdom to a Territory to a State, so too did the dominant industries change. Being a primarily agricultural land, producing around 80 percent of the world's pineapples in the 1960s, the addition of Pan Am’s flight route to Hawaii rapidly increased the number of visitors going to the islands. The years following statehood led to more than double the number of passengers arriving at Honolulu airport. As this trend continues to increase, Hawaii's economy has become heavily dependent on the tourism industry. Although the economy has seen significant growth with the addition of this industry, some researchers believe this will leave Hawaii susceptible to external economic forces. Some examples of these are an economic recession, airline strikes, or varying fuel prices which could devastate the local economy. The devastating national economic recession of 2008, hit Hawaii's tourism industry hard. In 2008, hotel occupancy dropped to 60 percent, a level not seen since the terrorist attacks in 2001.

As the economy has returned to normal levels, the tourism industry has continued to grow in Hawaii with the majority of tourists visiting Oahu, Maui, Kauai and the big island of Hawaii. Job creation is another benefit of tourism to the islands. In 2017, reports say 204,000 jobs were related to tourism. This led to $16.78 billion in visitor spending with $1.96 billion generated in tax revenue in that year alone. Resorts and the airline business are the primary benefactors of this increase in tourism.

Environmental
The Sustainable Tourism Association of Hawaii (formerly the Hawaii Ecotourism Association) was founded in 1995 as a 501(c)(3) nonprofit to nurture the development of sustainable tourism in Hawaii. It offers a certification program to educate and recognize conservation-minded tour operators in Hawaii, the only such certification program of its kind in America.

The long term environmental implications that Hawaii is facing due to mass tourism has raised concern. To combat this and help raise awareness, international environmental organizations have joined forces with local island communities. There are major benefits to this type of management, usually described as ""values-led management"". By prioritizing the values and existing sustainable practices by local communities living on heavily visited islands, it preserves their interests and further respects their culture.

Water
Hotels are often placed near beaches, in areas with little rainfall, and guests use 2,000 to 10,000 litres (440 to 2,200 imp gal; 530 to 2,640 US gal) of water per person. Another study concluded that on average, a single guest uses approximately 1,300 to 3,600 litres (290 to 790 imp gal; 340 to 950 US gal) of water per day, divided approximately half between accommodations (laundry and sewer) and golf courses (irrigation). This is significantly more than the average resident and has led to a number of droughts throughout the islands.

Landscape
The number of hotel rooms from 1985 to 2010 nearly doubled from 65,000 to 132,000 rooms. Tourists visit destinations with developed infrastructure, groomed activities and pristine conditions, which boosts the economy and finances needed to uphold these facilities. On the other hand, the very creation of these institutions degrades the environmental factors tourists are drawn to. Having perfect conditions requires an amount of upkeep fueled by the revenue of the visitors but the visitors also degrade the environment at a faster rate than residents alone.

A direct effect of the increase in infrastructure is the depletion of the natural landscape. As buildings are constructed the amount of natural land becomes smaller and smaller. As hotels are constructed in prime real estate the environmental problems created are not weighed equally with the potential upside of profit. The government sees the creation of jobs and the increase in visitor spending in the state as a good thing. Those are quantitative variables that can be directly measured in terms of dollars and number of jobs. However, the impact to the environment or the indigenous people is harder to measure in term of absolutes. Hawaii only holds 0.2 percent of the United States land but has a 72.1 percent extinction rate, and more than half of the natural communities in the islands are endangered by developments. An example of this is natural ponds being destroyed during construction of large buildings which were previously home to migrating birds. The ponds are no longer there, which throws off the natural flow of the ecosystem. Another staggering statistic says that nearly 60 percent of the plant and animal species in Hawaii are endangered. This includes the loss of habitats for animals and the diverse flora that gives Hawaii its beauty being degraded at an alarming rate.

Energy
Main article: Energy in Hawaii
Hawaii has traditionally relied on fossil fuel-fired thermal power plants for its electricity generation, although it has set a statewide goal of achieving 100% of electric generation via renewable sources by 2045; as a result, the average guest uses the equivalent of 6.4 to 13 kilograms (14 to 29 lb) of oil per day, approximately 2⁄3 of which is consumed by rental car operation. For electricity alone, the average guest uses 23.9 to 33.6 kW-hr per day.

Refuse
The beaches in Hawaii are becoming increasingly filled with trash, especially plastics. This becomes a problem not only environmentally, but also could have a negative impact on the economy as visitors come for the sandy beaches and pollutants such as trash or plastics decrease the appeal of Hawaii as a vacation destination. Kamilo Beach on the southeastern tip of the island of Hawaii has acquired the nickname ""Plastic Beach"" for its accumulation of plastic trash, much of it borne via ocean currents and trade winds from the nearby Great Pacific garbage patch. It is estimated that 15 to 20 short tons (14 to 18 t) of trash, 96% of which is plastic, washes ashore here annually.

The average guest generates approximately 3.3 kilograms (7.3 lb) of waste per day. In order to reduce the generation of plastic waste, Hawaii has begun to ban the use of single-use plastic and polystyrene foam on a county-by-county approach. A ban on polystyrene foam containers took effect in Maui County on December 31, 2018; a similar ban started in Hawaii County (the Big Island) on July 1, 2019. Oahu's ban on single-use plastic and polystyrene will take effect on January 1, 2021. Two bills were considered by the Hawaii State Legislature in early 2019, which would have been the first state-wide bans on food service plastics in America. SB367 would ban the use of polystrene foam food containers statewide; that bill died in committee in March 2019. SB522 would ban single-use plastic beverage bottles, utensils, stirring sticks, polystyrene foam containers, and straws starting in 2021; that bill was modified in committee to create a working group to make recommendations on how to reduce plastic waste instead.

Social effect
Some Native Hawaiians believe strongly in the independence of Hawaii and the Hawaiian sovereignty movement. The creation of this grassroots organization leads to a negative view towards visitors and the disruption of the natural land. This leads to a strong contention between developers and natives who believe the land should not be transformed into a commercial or residential development. Many of these individuals are reliant on the land as a means of living. The loss of the environment affects the socio-psychological well-being of those reliant on land and marine resources. Native Hawaiians and residents alike become limited in job opportunities with a heavily skewed job-base in the tourism industry.

The essay ""Lovely Hula Lands"" (later republished as ""Lovely Hula Hands"") by native Hawaiian academic and activist Haunani-Kay Trask is severely critical of the huge influx of tourists to Hawaiʻi, which she terms a ""prostitution"" of Hawaiian culture. She ends her essay with ""let me just leave this thought behind. If you are thinking of visiting my homeland, please don't. We don't want or need any more tourists, and we certainly don't like them."" However, the Southern Poverty Law Center (SPLC) has condemned Trask for her anti-American statements, stating that such vitriol helps fuel racism in Hawaiʻi.","- From economic perspective, tourism shifted Hawaii from being primarily agricultural and self-sustainable to heavily dependent on tourism industries and more susceptible on external economic forces such as economic recession or fuel prices. Increasing number of jobs and state income are coming from tourism-related businesses
- On environmental perspective, the state of Hawaii established certification program to educate local communities to practice sustainable and conservation-minded tour operators
- On the resource perspective, water, landscape and energy usage increased significantly and led to concerns on reduced natural habitats for birds and animals
- On the refuse management perspective, trashes, especially plastics, became a major concern both environmentally and economically. Hawaii passed state laws in 2019 and 2021 to ban using plastics in food service, beverage bottles, utensils, stirring sticks, polystyrene foam containers, and straws. These are the first state-wide bans on food service plastics in America. 
- On social effect perspective, there are tensions between Native Hawaiians and residents who hold negative views towards tourism and visitors and the increasingly booming tourism industry.",summarization
"Do you have any dietary restrictions? If so, what are they.",,"Yes. I'm both kosher AND vegetarian. That mean simply getting kosher food that contains meat or fish won't be something I can eat. Likewise, a vegetarian entree from a regular restaurant also won't work as there are all sorts of problems that might ensure. These include: cross-contamination w/ utensils used to prepare meat or fish, inclusion of ingredients that appear vegetarian but aren't (e.g., cheese made with animal rennet or enzymes, pastries containing gelatin made from bones, natural colorants or flavorings derived from insects or animals, egg-substitute made from plasmolyzed fish blood, etc.). My own personal standard doesn't require certification by a kosher agency; but in general, I'll only eat at places that only serve vegan or vegetarian items (and from the latter, there may be items I can't eat).",general_qa
What are some ways to help someone fall asleep?,,"Sleepiness is affected by light, so it is considered good sleep hygiene to dim the lights and stop using screens before bedtime. Additionally making sure that the bedroom is quiet and cool can greatly assist with sleep.",brainstorming
"Classify these items in my grocery bag as 'vegan' or 'not vegan'. Ground beef, almond butter, eggs, spinach, fava beans, barley, dates, milk, wild rice, cashew milk yoghurt, beef tongue, ghee, jalapenos",,"Ground beef - not vegan
almond butter - vegan
eggs - not vegan
spinach - vegan
fava beans - vegan
barley - vegan 
dates - vegan
milk - not vegan 
wild rice - vegan 
cashew milk yoghurt - vegan 
beef tongue - not vegan 
ghee - not vegan 
jalapenos - vegan",classification
Do vegetarians eat meat?,,"No, vegetarians do not eat meat. People who eat meat are called carnivores or omnivores. People who do not eat meat are called vegetarians. People who eat only fish are called pescatarians. People who do not consume any animals products are called vegans.",open_qa
Which are main characters in Harry potter,,"Harry Potter
Hermoine Gringer
Ron Wesley
Lord Voldemort
Albus Dumbeldore
Remus Lupin
Luna Lovegood
ginny wesley
Draco Malfoy
Hagrid
Snape
Lilly
james
Dursleys",brainstorming
How do you potty train your bunny?,,"Bunnies are known to be fairly clean pets and actually like to have a place to do their thing. It is best to use a box or buy one from a pet store and fill it with paper or pet specific material or litter that will absorb urine and moist feces. 

Make sure to change litter or clean at least every few days. After just a few days, your furry friend will start to recognize this as his place to go.",general_qa
Is Killing is Sin ? Is it ture,,Killing a human being should not be sin because same goes to any animal. So either both are sin or any one of it is not should not be accepted.,brainstorming
What dishes can we eat as a Vegan?,,"We can eat all products which does not harm any animal or are by products of it. As a vegan, you have a variety of options. So, if you see you just want to replace dairy right, which is primarily curd - you have vegan curd for that made of peanut. Butter/Ghee you have vegan ghee/butter made from nuts like cashew, almond, peanut too. I mean seriously you have a lot of options. Then you can replace milk too, with same nut milk. And you know how beneficial it is. 

So basically, you can eat all the dishes you already eat just by changing the dairy, honey and animal product with plant based things.",brainstorming
"From the provided description of the cheesemaking process, list the ingredients required to make cheese.","The goal of cheese making is to control the spoiling of milk into cheese. The milk is traditionally from a cow, goat, sheep or buffalo, although, in theory, cheese could be made from the milk of any mammal. Cow's milk is most commonly used worldwide. The cheesemaker's goal is a consistent product with specific characteristics (appearance, aroma, taste, texture). The process used to make a Camembert will be similar to, but not quite the same as, that used to make Cheddar.

Some cheeses may be deliberately left to ferment from naturally airborne spores and bacteria; this approach generally leads to a less consistent product but one that is valuable in a niche market.

Culturing
Cheese is made by bringing milk (possibly pasteurised) in the cheese vat to a temperature required to promote the growth of the bacteria that feed on lactose and thus ferment the lactose into lactic acid. These bacteria in the milk may be wild, as is the case with unpasteurised milk, added from a culture, frozen or freeze dried concentrate of starter bacteria. Bacteria which produce only lactic acid during fermentation are homofermentative; those that also produce lactic acid and other compounds such as carbon dioxide, alcohol, aldehydes and ketones are heterofermentative. Fermentation using homofermentative bacteria is important in the production of cheeses such as Cheddar, where a clean, acid flavour is required. For cheeses such as Emmental the use of heterofermentative bacteria is necessary to produce the compounds that give characteristic fruity flavours and, importantly, the gas that results in the formation of bubbles in the cheese ('eye holes').

Starter cultures are chosen to give a cheese its specific characteristics. In the case of mould-ripened cheese such as Stilton, Roquefort or Camembert, mould spores (fungal spores) may be added to the milk in the cheese vat or can be added later to the cheese curd.

Coagulation
During the fermentation process, once sufficient lactic acid has been developed, rennet is added to cause the casein to precipitate. Rennet contains the enzyme chymosin which converts κ-casein to para-κ-caseinate (the main component of cheese curd, which is a salt of one fragment of the casein) and glycomacropeptide, which is lost in the cheese whey. As the curd is formed, milk fat is trapped in a casein matrix. After adding the rennet, the cheese milk is left to form curds over a period of time.


Fresh chevre hanging in cheesecloth to drain.
Draining
Once the cheese curd is judged to be ready, the cheese whey must be released. As with many foods the presence of water and the bacteria in it encourages decomposition. To prevent such decomposition it is necessary to remove most of the water (whey) from the cheese milk, and hence cheese curd, to make a partial dehydration of the curd. There are several ways to separate the curd from the whey.


Maturing cheese in a cheese cellar
Scalding
In making Cheddar (or many other hard cheeses) the curd is cut into small cubes and the temperature is raised to approximately 39 °C (102 °F) to 'scald' the curd particles. Syneresis occurs and cheese whey is expressed from the particles. The Cheddar curds and whey are often transferred from the cheese vat to a cooling table which contains screens that allow the whey to drain, but which trap the curd. The curd is cut using long, blunt knives and 'blocked' (stacked, cut and turned) by the cheesemaker to promote the release of cheese whey in a process known as 'cheddaring'. During this process the acidity of the curd increases to a desired level. The curd is then milled into ribbon shaped pieces and salt is mixed into it to arrest acid development. The salted green cheese curd is put into cheese moulds lined with cheesecloths and pressed overnight to allow the curd particles to bind together. The pressed blocks of cheese are then removed from the cheese moulds and are either bound with muslin-like cloth, or waxed or vacuum packed in plastic bags to be stored for maturation. Vacuum packing removes oxygen and prevents mould (fungal) growth during maturation, which depending on the wanted final product may be a desirable characteristic or not.

Mould-ripening
Main article: Cheese ripening
In contrast to cheddaring, making cheeses like Camembert requires a more gentle treatment of the curd. It is carefully transferred to cheese hoops and the whey is allowed to drain from the curd by gravity, generally overnight. The cheese curds are then removed from the hoops to be brined by immersion in a saturated salt solution. The salt absorption stops bacteria growing, as with Cheddar. If white mould spores have not been added to the cheese milk it is applied to the cheese either by spraying the cheese with a suspension of mould spores in water or by immersing the cheese in a bath containing spores of, e.g., Penicillium candida.

By taking the cheese through a series of maturation stages where temperature and relative humidity are carefully controlled, allowing the surface mould to grow and the mould-ripening of the cheese by fungi to occur. Mould-ripened cheeses ripen very quickly compared to hard cheeses (weeks against months or years). This is because the fungi used are biochemically very active when compared with starter bacteria. Some cheeses are surface-ripened by moulds, such as Camembert and Brie, some are ripened internally, such as Stilton, which is pierced with stainless steel wires, to admit air to promote mould spore germination and growth, as with Penicillium roqueforti. Surface ripening of some cheeses, such as Saint-Nectaire, may also be influenced by yeasts which contribute flavour and coat texture. Others are allowed to develop bacterial surface growths which give characteristic colours and appearances, e.g. by the growth of Brevibacterium linens which gives an orange coat to cheeses.","The main ingredient used to make cheese is milk. Cow's milk is commonly used, though goat, sheep or buffalo can also be used, as could the milk of any mammal in theory. Starter cultures are typically added to aid in the culturing stage of the process. Rennet is added to the cheese milk to promote the separation into cheese curd and whey. Ultimately, salt is added to halt the production of acid later in the process. Finally, mould spores are introduced to assist in ripening. This can be added to the cheese milk early on in the process, or just prior to maturing.",information_extraction
What is wheat?,,"Wheat starts off as a grass, and it is grown to collect its seeds.  The grain seeds from wheat are often used in cereal, biscuits, crackers, bread, chips, pizza, pasta and pastries.  Wheat is also given in its raw form to farm animals to help them grow and stay nourished.",open_qa
List the agricultural reasons why sheep were domesticated,"Sheep are most likely descended from the wild mouflon of Europe and Asia, with Iran being a geographic envelope of the domestication center. One of the earliest animals to be domesticated for agricultural purposes, sheep are raised for fleeces, meat (lamb, hogget or mutton) and milk. A sheep's wool is the most widely used animal fiber, and is usually harvested by shearing. In Commonwealth countries, ovine meat is called lamb when from younger animals and mutton when from older ones; in the United States, meat from both older and younger animals is usually called lamb. Sheep continue to be important for wool and meat today, and are also occasionally raised for pelts, as dairy animals, or as model organisms for science.","Here is a list of the agricultural reasons why sheep were domesticated:

* Fleeces - A sheep's wool is the most widely used animal fiber and is usually harvested by shearing
* Meat - Sheep are domesticated for their meet in Commonwealth countries (called lamb when from younger animals and mutton when from older ones) and in the United States (meat from both older and younger animals is usually called lamb)
* Milk - Sheep are occasionally raised as dairy animals",information_extraction
What is the best way to get more protein in my diet?,,"Ensure that at least 50% of each meal is consisted of protein. Animal products like chicken and beef are the easiest ways of consuming whole protein. Animal byproducts like cheese, eggs, cottage cheese, and greek yogurt are a great way to supplement protein intake, as long as you are keeping an eye out for fat, cholesterol and sugar, which can sometimes come in large amounts in those products. Topping your meals with high-protein nuts like almonds or pistachios is a clever and sneaky way of getting some extra protein in your food. If you still aren't getting enough protein in your diet, you can supplement with a protein shake. This is a great option for people that don't consume animal products, as many protein powders are plant-based. Other plant-based proteins sources are tofu, legumes, quinoa and edamame.",general_qa
