Species_Name,Region,Breeding_Season,Fishing_Method,Fish_Population,Average_Size(cm),Overfishing_Risk,Water_Temperature(C),Water_Pollution_Level
Snapper,North Atlantic,Winter,Trawl,5752,35.91,No,27.37,High
Snapper,North Atlantic,Winter,Net,9311,65.35,Yes,20.37,High
Sardine,Pacific Ocean,Monsoon,Line,1830,92.07,Yes,19.83,High
Salmon,North Atlantic,Summer,Line,6177,22.52,Yes,29.66,Low
Sardine,Pacific Ocean,Winter,Trawl,9932,19.07,Yes,18.01,High
Herring,Pacific Ocean,Monsoon,Trawl,9308,33.04,No,25.4,Low
Cod,Pacific Ocean,Summer,Line,6949,75.35,Yes,27.32,Medium
Tuna,Mediterranean Sea,Winter,Net,3838,63.37,No,15.62,Medium
Sardine,Indian Ocean,Winter,Trawl,2150,19.2,No,25.06,Low
Tuna,Indian Ocean,Winter,Trawl,8560,92.69,Yes,29.27,Low
Herring,Mediterranean Sea,Summer,Trawl,2931,81.11,Yes,16.86,Medium
Snapper,Indian Ocean,Summer,Net,2664,12.07,Yes,28.44,Medium
Sardine,Indian Ocean,Winter,Net,2081,68.62,Yes,23.92,High
Salmon,Indian Ocean,Winter,Line,1512,79.41,No,24.25,Low
Snapper,North Atlantic,Summer,Trawl,8805,43.7,Yes,24.19,Medium
Snapper,Mediterranean Sea,Monsoon,Net,6237,16.2,Yes,19.48,Low
Salmon,Indian Ocean,Summer,Net,1559,16.96,No,29.03,Medium
Cod,Mediterranean Sea,Monsoon,Trawl,4672,19.38,Yes,29.21,Low
Cod,Indian Ocean,Monsoon,Net,8404,85.64,No,24.38,Low
Sardine,Indian Ocean,Monsoon,Line,4343,91.96,No,26.75,Medium
Snapper,Mediterranean Sea,Winter,Net,5070,21.05,No,24.18,High
Sardine,Pacific Ocean,Winter,Net,1580,31.23,No,22.27,High
Cod,Mediterranean Sea,Monsoon,Line,8004,24.9,No,24.91,High
Mackerel,Pacific Ocean,Monsoon,Trawl,9130,26.77,No,23.3,Medium
Herring,North Atlantic,Monsoon,Net,4147,85.37,No,23.96,Medium
Sardine,Mediterranean Sea,Summer,Line,5249,39.89,No,26.76,High
Sardine,Pacific Ocean,Winter,Trawl,2679,38.03,No,22.21,Medium
Mackerel,Indian Ocean,Monsoon,Line,4506,30.47,No,15.61,Medium
Cod,North Atlantic,Monsoon,Net,8253,64.71,Yes,17.46,High
Sardine,Mediterranean Sea,Summer,Line,3744,44.14,No,21.58,Medium
Tuna,Pacific Ocean,Winter,Net,6188,76.98,No,25.87,Medium
Cod,Pacific Ocean,Monsoon,Trawl,3141,28.5,Yes,23.9,Low
Cod,Mediterranean Sea,Winter,Trawl,7617,80.9,No,24.75,Low
Herring,Pacific Ocean,Monsoon,Line,3479,64.33,No,22.19,High
Sardine,Mediterranean Sea,Summer,Net,7484,20.28,No,24.24,Low
Snapper,Pacific Ocean,Summer,Trawl,8421,47.31,Yes,19.94,Low
Shark,Indian Ocean,Winter,Line,5452,87.72,Yes,22.05,Medium
Shark,Mediterranean Sea,Summer,Trawl,6881,93.07,Yes,26.16,Low
Shark,Mediterranean Sea,Winter,Trawl,7665,51.91,Yes,28.08,Medium
Herring,North Atlantic,Monsoon,Net,3849,53.28,No,21.5,Low
Shark,Indian Ocean,Summer,Trawl,8390,92.66,No,15.65,High
Mackerel,Mediterranean Sea,Monsoon,Trawl,7905,62.84,No,17.43,Medium
Salmon,Pacific Ocean,Monsoon,Net,3489,12.96,Yes,15.31,Low
Cod,Pacific Ocean,Summer,Trawl,5611,92.15,Yes,24.8,Medium
Snapper,Pacific Ocean,Summer,Trawl,3839,32.34,No,19.98,High
Salmon,North Atlantic,Summer,Net,9527,61.99,Yes,23.14,High
Herring,Mediterranean Sea,Monsoon,Net,6878,24.9,No,22.4,Medium
Cod,Pacific Ocean,Winter,Trawl,7303,13.05,Yes,16.22,High
Herring,North Atlantic,Winter,Trawl,1851,38.03,No,21.05,High
Herring,North Atlantic,Monsoon,Trawl,2687,80.24,No,18.31,Low
Mackerel,Mediterranean Sea,Monsoon,Trawl,7833,34.98,No,21.28,High
Tuna,Pacific Ocean,Monsoon,Line,3427,29.81,No,18.05,Low
Tuna,Indian Ocean,Summer,Trawl,5000,29.14,No,27.61,Medium
Herring,Pacific Ocean,Winter,Net,6052,56.37,No,17.61,High
Shark,Indian Ocean,Winter,Net,3738,97.8,Yes,29.41,Medium
Salmon,Indian Ocean,Winter,Net,6732,51.31,No,21.24,High
Shark,Pacific Ocean,Winter,Net,6387,60.16,Yes,27.69,Low
Sardine,Indian Ocean,Winter,Trawl,9002,87.46,Yes,24.43,High
Herring,North Atlantic,Winter,Trawl,6536,58.16,No,26.03,Medium
Sardine,North Atlantic,Monsoon,Line,4913,26.6,Yes,26.52,High
Shark,Pacific Ocean,Monsoon,Trawl,2066,36.96,Yes,22.57,Low
Sardine,Mediterranean Sea,Summer,Net,8723,37.89,Yes,23.15,Medium
Herring,North Atlantic,Monsoon,Trawl,5380,45.76,Yes,22.71,Low
Mackerel,Pacific Ocean,Monsoon,Line,5107,48.41,Yes,23.82,High
Tuna,Indian Ocean,Winter,Trawl,6726,81.98,Yes,15.44,High
Salmon,North Atlantic,Summer,Trawl,4373,41.44,No,20.93,Low
Sardine,Pacific Ocean,Winter,Net,9945,52.14,Yes,24.09,Medium
Herring,Pacific Ocean,Summer,Line,3082,66.25,Yes,23.97,Low
Mackerel,Mediterranean Sea,Monsoon,Trawl,9967,44.0,Yes,26.89,Medium
Shark,Indian Ocean,Monsoon,Trawl,7748,85.29,Yes,24.83,Medium
Tuna,Indian Ocean,Winter,Line,1417,62.87,Yes,29.88,Medium
Herring,Indian Ocean,Winter,Trawl,9306,36.46,Yes,19.26,Low
Salmon,Pacific Ocean,Winter,Line,9808,74.27,No,20.39,Medium
Shark,Pacific Ocean,Monsoon,Line,4974,57.49,No,20.76,Low
Mackerel,Indian Ocean,Monsoon,Net,4267,58.1,Yes,21.99,Low
Shark,Pacific Ocean,Monsoon,Trawl,1825,53.3,No,27.54,Low
Snapper,Mediterranean Sea,Summer,Line,8668,54.73,No,18.54,High
Shark,Pacific Ocean,Winter,Line,6745,78.88,Yes,26.64,High
Sardine,Pacific Ocean,Summer,Line,1412,19.27,Yes,21.08,High
Shark,North Atlantic,Monsoon,Net,8543,40.09,No,24.03,Medium
Mackerel,Mediterranean Sea,Monsoon,Trawl,8587,16.8,Yes,24.49,High
Shark,North Atlantic,Summer,Net,1728,77.79,Yes,20.59,High
Shark,Indian Ocean,Winter,Net,8164,34.51,No,22.69,High
Cod,Indian Ocean,Winter,Line,9867,90.77,No,21.2,Medium
Herring,Mediterranean Sea,Monsoon,Line,6988,57.39,Yes,16.04,Low
Cod,Pacific Ocean,Monsoon,Line,3504,82.07,No,21.56,High
Shark,North Atlantic,Monsoon,Line,3967,98.1,Yes,16.46,Low
Herring,Mediterranean Sea,Winter,Net,3786,85.58,Yes,21.08,Low
Cod,North Atlantic,Summer,Line,2122,88.03,Yes,23.89,Low
Shark,Pacific Ocean,Monsoon,Trawl,5079,46.72,Yes,23.69,Low
Salmon,North Atlantic,Monsoon,Net,2571,59.66,Yes,24.94,High
Cod,Mediterranean Sea,Summer,Line,6073,32.85,Yes,16.43,Medium
Herring,Pacific Ocean,Winter,Trawl,6104,27.65,No,24.78,High
Cod,Pacific Ocean,Monsoon,Line,3143,55.5,No,19.68,Medium
Snapper,Mediterranean Sea,Winter,Trawl,7806,63.55,No,20.99,High
Snapper,Pacific Ocean,Monsoon,Line,8357,40.53,No,27.87,High
Salmon,North Atlantic,Winter,Line,4440,61.25,Yes,15.14,Low
Mackerel,Indian Ocean,Summer,Net,4766,89.87,No,23.83,Medium
Mackerel,Mediterranean Sea,Monsoon,Line,6644,60.1,No,23.98,High
Herring,North Atlantic,Monsoon,Trawl,3914,74.87,No,20.95,Medium
Sardine,Pacific Ocean,Monsoon,Trawl,5968,82.48,Yes,18.56,Medium
Mackerel,Indian Ocean,Monsoon,Net,6917,98.99,Yes,18.52,High
Herring,North Atlantic,Monsoon,Line,9787,64.29,No,28.26,Medium
Salmon,Mediterranean Sea,Summer,Net,1728,82.62,Yes,21.63,High
Sardine,Pacific Ocean,Monsoon,Line,2365,96.64,Yes,19.96,High
Sardine,Mediterranean Sea,Monsoon,Net,5492,95.0,Yes,21.73,Low
Snapper,North Atlantic,Winter,Line,1698,22.7,No,25.04,Low
Shark,Indian Ocean,Monsoon,Line,8186,46.58,No,17.19,Medium
Sardine,North Atlantic,Winter,Net,1395,39.16,No,21.74,Low
Tuna,North Atlantic,Summer,Net,8400,17.82,No,23.82,Medium
Herring,Pacific Ocean,Winter,Net,9082,66.99,Yes,29.23,High
Sardine,Mediterranean Sea,Winter,Net,5171,76.23,Yes,18.79,Low
Sardine,North Atlantic,Summer,Line,5360,86.33,Yes,20.39,High
Tuna,North Atlantic,Summer,Line,3502,21.05,Yes,20.69,Low
Sardine,Indian Ocean,Winter,Trawl,1717,88.88,No,24.08,Low
Shark,Indian Ocean,Winter,Line,3782,67.86,No,20.35,Low
Tuna,Mediterranean Sea,Summer,Net,5946,73.36,No,23.0,High
Snapper,Mediterranean Sea,Summer,Net,6486,91.96,Yes,26.73,Medium
Cod,Pacific Ocean,Summer,Line,9335,66.23,Yes,25.58,Low
Sardine,Mediterranean Sea,Summer,Trawl,5980,40.23,Yes,21.7,High
Sardine,Indian Ocean,Summer,Trawl,8266,84.26,Yes,27.96,Medium
Herring,Mediterranean Sea,Winter,Line,5491,42.68,No,23.37,Medium
Shark,North Atlantic,Summer,Net,8192,13.08,No,23.1,Low
Herring,Mediterranean Sea,Monsoon,Net,6588,84.76,Yes,15.51,High
Cod,Mediterranean Sea,Monsoon,Line,8651,41.07,Yes,29.8,High
Sardine,Pacific Ocean,Monsoon,Trawl,4636,79.65,No,16.84,Medium
Shark,North Atlantic,Monsoon,Line,2167,42.65,Yes,18.47,High
Tuna,Pacific Ocean,Summer,Line,2062,87.5,Yes,15.78,Medium
Sardine,Indian Ocean,Monsoon,Line,3156,29.76,No,24.6,Medium
Snapper,Mediterranean Sea,Winter,Line,8860,97.71,Yes,18.37,Medium
Sardine,Mediterranean Sea,Monsoon,Net,6161,80.18,Yes,17.7,Low
Mackerel,Indian Ocean,Summer,Net,6305,20.28,Yes,16.33,High
Shark,Pacific Ocean,Monsoon,Line,7541,60.92,No,16.55,Low
Mackerel,North Atlantic,Winter,Trawl,5729,98.68,Yes,23.77,Medium
Tuna,Pacific Ocean,Summer,Line,8330,52.4,No,25.32,High
Sardine,Pacific Ocean,Summer,Net,6334,26.39,Yes,20.96,High
Tuna,North Atlantic,Summer,Net,9924,53.63,Yes,22.2,Medium
Salmon,Mediterranean Sea,Monsoon,Trawl,5330,56.12,No,25.29,High
Sardine,Pacific Ocean,Monsoon,Line,9010,76.75,No,15.26,Medium
Mackerel,Indian Ocean,Summer,Net,7801,72.9,No,19.85,Medium
Shark,North Atlantic,Monsoon,Net,5846,46.23,Yes,29.6,Medium
Mackerel,Mediterranean Sea,Winter,Line,7731,29.62,Yes,23.7,Medium
